,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.750 [0.469, 0.960]","0.824 [0.544, 0.972]","2.000 [2.000, 3.000]","0.667 [0.500, 1.000]",6.402e-02
SS 03,"0.750 [0.505, 0.948] (p=0.515)","0.725 [0.450, 0.959] (p=0.29)","5.000 [5.000, 5.000] (p=2.582e-72)","1.000 [0.667, 1.000] (p=0.000e+00)",5.179e-02
SS 05,"0.790 [0.520, 1.000] (p=0.374)","0.740 [0.497, 1.000] (p=0.517)","3.000 [3.000, 3.000] (p=4.376e-29)","1.000 [1.000, 1.000] (p=0.000e+00)",3.121e-02
SS 08,"0.750 [0.485, 0.948] (p=0.603)","0.824 [0.595, 0.980] (p=0.598)","2.000 [2.000, 3.000] (p=6.634e-01)","0.667 [0.667, 1.000] (p=2.442e-77)",6.402e-02
Lasso,"0.660 [0.373, 0.917] (p=0.251)","0.798 [0.535, 0.950] (p=0.353)","6.000 [4.750, 6.000] (p=1.907e-51)","0.667 [0.500, 0.833] (p=1.142e-109)",2.413e-01
Lasso 1SE,"0.650 [0.364, 0.880] (p=0.21)","0.781 [0.519, 0.950] (p=0.321)","6.000 [4.750, 6.000] (p=5.343e-48)","0.667 [0.500, 0.833] (p=2.303e-155)",2.730e-01
ElasticNet,"0.700 [0.444, 0.920] (p=0.38)","0.792 [0.552, 0.953] (p=0.342)","7.000 [6.000, 8.250] (p=9.360e-54)","0.750 [0.625, 0.875] (p=2.992e-06)",1.405e-01
