Feature name,p-value (Spearman correlation),Corrected p-value (Bonferroni)
Granulocytes_149Sm_CREB_IFNa,0.00010502887739907718,0.07971691794589958
intMCs_149Sm_CREB_unstim,0.00014087476374689034,0.10692394568388977
Granulocytes_166Er_NFkB_GMCSF,0.00019115567620684313,0.14508715824099394
CD4Tcm_159Tb_MAPKAPK2_IFNa,0.00019952319083661364,0.15143810184498974
CD4Tcm_167Er_ERK_IFNa,0.00022737381688246334,0.17257672701378968
Tregs_159Tb_MAPKAPK2_LPS,0.0002824558197192867,0.21438396716693858
CD4Tnaive_154Sm_STAT3_IL246,0.0003726903212832796,0.2828719538540092
Granulocytes_155Gd_S6_IFNa,0.00042102612188640236,0.3195588265117794
CD4Tnaive_150Nd_STAT5_unstim,0.0004804041914444034,0.36462678130630216
CD56loCD16posNK_159Tb_MAPKAPK2_IFNa,0.0006108633891703925,0.4636453123803279
CD4Tcm_150Nd_STAT5_unstim,0.0006332014548625537,0.4805999042406782
Granulocytes_156Gd_IkB_IFNa,0.0006733492957246276,0.5110721154549923
MDSCs_154Sm_STAT3_IL246,0.0006787406008790261,0.5151641160671808
CD56loCD16posNK_149Sm_CREB_LPS,0.0009608598626657831,0.7292926357633294
NKT_149Sm_CREB_IFNa,0.0010183898232224418,0.7729578758258333
MDSCs_149Sm_CREB_unstim,0.0010231939359132771,0.7766041973581773
Bcells_159Tb_MAPKAPK2_LPS,0.001132839006063046,0.8598248056018519
Granulocytes_149Sm_CREB_unstim,0.0011412325899844485,0.8661955357981964
cMCs_149Sm_CREB_unstim,0.001282482921447066,0.973404537378323
CD8Tnaive_150Nd_STAT5_unstim,0.001391067258958658,1.0
Granulocytes_151Eu_p38_GMCSF,0.0015777789797064132,1.0
ncMCs_167Er_ERK_GMCSF,0.0016187072152411498,1.0
cMCs_149Sm_CREB_GMCSF,0.0017500649689000446,1.0
Granulocytes_167Er_ERK_GMCSF,0.001785685001680788,1.0
CD8Tnaive_156Gd_IkB_IFNa,0.0018466621353817633,1.0
CD56loCD16posNK_159Tb_MAPKAPK2_LPS,0.0019284963799304463,1.0
intMCs_167Er_ERK_GMCSF,0.002056655916907385,1.0
CD56loCD16posNK_159Tb_MAPKAPK2_unstim,0.0022475551852266613,1.0
CD8Tem_167Er_ERK_IFNa,0.0024029489903408855,1.0
Granulocytes_156Gd_IkB_unstim,0.0024967213887777022,1.0
CD56hiCD16negNK_155Gd_S6_unstim,0.0025091741346488523,1.0
cMCs_156Gd_IkB_IFNa,0.0025783757059601588,1.0
CD4Tcm_149Sm_CREB_unstim,0.0028474754377115974,1.0
mDCs_149Sm_CREB_unstim,0.003188945351193913,1.0
CD8Teff_156Gd_IkB_unstim,0.0035784761787945687,1.0
ncMCs_149Sm_CREB_GMCSF,0.0037967040184592846,1.0
cMCs_155Gd_S6_GMCSF,0.0038942985054999514,1.0
CD4Tem_159Tb_MAPKAPK2_IFNa,0.003930937833128145,1.0
CD4Tem_149Sm_CREB_unstim,0.004485969424476314,1.0
ncMCs_156Gd_IkB_IFNa,0.0046407738306806475,1.0
cMCs_153Eu_STAT1_IL246,0.0046562682114348365,1.0
Tregs_159Tb_MAPKAPK2_IFNa,0.00471394048403225,1.0
