,Mann-Whitney U-test,p-value
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,3050.0,0.028201099810111967
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,1975.5,0.028292172567806688
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,1978.5,0.02917971636911335
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,3041.5,0.02920288230402925
Myeloid DCs_stromal_aggregatedNeighbors.CD8.T.cells,3043.5,0.029384761289107747
CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,3041.0,0.03034837293458031
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,3038.5,0.0315762923937015
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,1986.5,0.03175491508795007
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,3023.0,0.0348754842943931
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,3026.0,0.035912034968531265
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells,3021.5,0.036994815757892395
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2008.5,0.039429443496750295
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,3003.5,0.040033211724825546
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,3010.0,0.041513201365237486
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,3010.0,0.04169000777476169
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2015.5,0.04245982131573125
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3003.0,0.04353103118558232
Myeloid Monocytes_stromal_aggregatedNeighbors.CD8.T.cells,3006.5,0.04355723560956323
Myeloid Monocytes_stromal_aggregatedNeighbors.Vessel,2019.5,0.044144885678563166
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,3000.5,0.04625806890797151
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,2998.0,0.04656453954452928
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2050.5,0.047300000378792305
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2982.0,0.04745252439236148
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,2993.0,0.04755829454590025
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory,2994.5,0.04848391504174008
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel,2030.0,0.04887173340027464
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2981.0,0.04904877841936857
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,2989.5,0.05136478232130173
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,2056.0,0.052190546589784295
Vessel_stromal_aggregatedNeighbors.Vessel,2038.0,0.05274354847854747
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,2961.0,0.054174564384279776
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Vessel,2044.0,0.055714331734106094
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,2980.0,0.05621805316882274
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2971.0,0.05744440888780562
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2973.0,0.05849594804871272
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2967.0,0.058805589611038454
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,2973.0,0.06013113384214067
B cells_stromal_aggregatedNeighbors.Fibroblasts,2970.5,0.06100814787973079
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2968.5,0.061183752296080474
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs,2959.5,0.06473834757726069
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,2945.0,0.06898000677380428
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2954.5,0.0693191940858717
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive,2949.5,0.07420253273211722
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2945.0,0.0750909665995102
Fibroblasts_stromal_aggregatedNeighbors.Vessel,2077.0,0.07546268420865133
Myeloid Granulocytes_stromal_aggregatedNeighbors.B.cells,2084.5,0.07590613296823365
Fibroblasts_stromal_aggregatedNeighbors.B.cells,2943.0,0.07837271125081834
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,2938.0,0.07844636212894113
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel,2082.5,0.07898657787031366
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating,2932.0,0.0827616823941531
CD4 T cells memory_stromal_aggregatedNeighbors.Vessel,2089.5,0.08424374257231752
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,2931.0,0.08623987762785414
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,2931.0,0.08714478795304485
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2093.5,0.08715837910480406
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Vessel,2095.0,0.08775291888062225
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,2930.5,0.08785421172568539
B cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2101.5,0.08786744185304741
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2096.5,0.08951298710550042
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2922.5,0.08999518700584797
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2904.5,0.09872401832122837
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2909.0,0.09964088964400968
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,2110.0,0.10031634610601242
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel,2111.0,0.10124824845856717
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Vessel,2112.0,0.10212260137242109
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2114.0,0.10288866661078674
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2903.0,0.1064127490391965
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,2118.5,0.10647471423205052
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2903.5,0.10857059288899343
B cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,2904.0,0.10865373758738066
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating,2888.0,0.10930346846964678
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,2904.0,0.10981814580823654
Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts,2904.0,0.10993632113771167
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,2892.5,0.1108367741869449
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2891.5,0.11865849683073927
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Vessel,2131.5,0.11996178644850058
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2133.0,0.1202104636547912
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,2136.0,0.12158994519257947
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2134.5,0.12180421854336057
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2890.0,0.12209691327257545
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2888.0,0.1253643223459019
CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells,2877.0,0.12905372106376095
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,2143.0,0.1315726605082971
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.DCs,2876.0,0.13195333624447658
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2875.5,0.13324312265704363
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2860.5,0.14114708739639026
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2870.0,0.14206180233064
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes,2870.0,0.14450089587596035
B cells_stromal_aggregatedNeighbors.B.cells,2860.5,0.1531367900945731
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2163.0,0.1538088746781644
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Vessel,2166.5,0.1577566766895171
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating,2855.0,0.15818787801696388
B cells_stromal_aggregatedNeighbors.CD8.T.cells,2856.0,0.15987431655024487
Vessel_tumorfront_aggregatedNeighbors.Vessel,2172.0,0.16470512823355854
Myeloid DCs_tumorfront_aggregatedNeighbors.B.cells,2832.0,0.1648582414325117
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2839.5,0.16555115740434867
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2844.0,0.17078578115405496
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2840.5,0.1717356819195065
Myeloid DCs_stromal_aggregatedNeighbors.Tumor.non.proliferating,2198.5,0.17201102321477502
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2179.5,0.17409373422804753
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.DCs,2835.0,0.175648762551189
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2843.0,0.17613112119040342
CD4 T cells regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating,2207.0,0.1770726218436932
CD8 T cells_intratumor_aggregatedNeighbors.Tumor.proliferating,2837.5,0.1782620909330308
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2831.5,0.18002399083905174
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2837.5,0.18349321794468754
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.B.cells,2812.0,0.18455930604446913
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,2837.0,0.184894158035936
Myeloid Monocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,2203.5,0.18758693028045892
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,2831.0,0.1885679676604718
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,2825.5,0.1895587005491315
CD8 T cells_tumorfront_aggregatedNeighbors.Vessel,2193.0,0.19228892226086658
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2823.0,0.19490182087890184
B cells_tumorfront_aggregatedNeighbors.CD8.T.cells,2823.0,0.19560778644907106
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2823.5,0.19609742765835858
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,2828.0,0.19750821778327943
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2827.0,0.19848456614638443
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,2826.5,0.2000930278945393
CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts,2819.0,0.21057782813778958
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2817.0,0.21185188718447834
Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating,2212.5,0.21203477990478137
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,2208.5,0.21264842477787294
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2212.5,0.2169415550453273
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2799.0,0.21949137818598463
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2800.0,0.22072959370797318
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2807.0,0.22553245610689898
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,2221.0,0.22696537002077066
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2800.5,0.22909296954230696
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2790.5,0.23005603250996898
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2802.0,0.23269603765542868
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2779.0,0.24077407080047364
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2248.5,0.24255610222653978
CD4 T cells naive_tumorfront_aggregatedNeighbors.Vessel,2231.0,0.2491679266961312
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,2785.0,0.26486428724540345
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs,2243.0,0.26652478954436554
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,2779.0,0.2723238717665005
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,2253.0,0.27993550736491246
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2251.0,0.2813663594632464
CD8 T cells_tumorfront_aggregatedNeighbors.B.cells,2771.0,0.2829806965987095
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.B.cells,2258.0,0.28547656799184995
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2768.0,0.28804455918677474
B cells_stromal_aggregatedNeighbors.Myeloid.Monocytes,2256.0,0.29111465036791495
Tumor non-proliferating_tumorfront_aggregatedNeighbors.B.cells,2762.0,0.2986693332268384
CD8 T cells_stromal_aggregatedNeighbors.Tumor.non.proliferating,2759.0,0.29907595442239776
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,2260.0,0.3009598720599964
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2260.5,0.30229174263201875
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs,2264.0,0.3098075210258474
Vessel_stromal_aggregatedNeighbors.B.cells,2754.0,0.3241702719871393
B cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2734.5,0.32479605878127094
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2741.5,0.33160227309375767
CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,2274.5,0.33170877563860124
B cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,2748.5,0.33476574065956066
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2278.0,0.3365075999715734
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2284.0,0.34875809992830487
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2287.0,0.3534462054328269
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2289.0,0.3556523865396004
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2737.5,0.35640292053981637
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,2731.0,0.3570095458960455
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2729.0,0.3595625029516849
Tumor proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,2292.0,0.3664904263307023
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2729.5,0.367651151623013
CD4 T cells naive_stromal_aggregatedNeighbors.B.cells,2732.0,0.36885862404916236
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,2730.0,0.37144459453065026
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2295.0,0.37519359580609934
Myeloid DCs_tumorfront_aggregatedNeighbors.Fibroblasts,2726.0,0.3766839768441177
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Vessel,2298.5,0.3829354360081322
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2725.0,0.3831650171945644
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2724.0,0.38449889312567564
Myeloid DCs_stromal_aggregatedNeighbors.B.cells,2720.5,0.3854233582184987
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2302.0,0.3899762736867488
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,2302.5,0.3912044701476113
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2305.5,0.3986728722580598
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2706.5,0.40562993802429403
B cells_stromal_aggregatedNeighbors.Tumor.non.proliferating,2702.0,0.40584535542551003
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,2713.5,0.4096052067927245
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2714.0,0.41008491697988014
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2312.0,0.41361862343002553
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts,2314.0,0.41824171963228796
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes,2709.5,0.4216191786652047
CD4 T cells memory_tumorfront_aggregatedNeighbors.B.cells,2703.0,0.42430699575555053
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2699.0,0.4338472425038826
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.DCs,2322.5,0.43727702142683733
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,2701.0,0.43914552396739026
B cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,2698.0,0.4402989171371898
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2700.0,0.4425755969177565
Vessel_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,2697.0,0.45209648568158556
Myeloid Granulocytes_stromal_aggregatedNeighbors.Vessel,2330.5,0.4580898697322471
B cells_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,2334.0,0.4654896701838568
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2335.0,0.4688994242660347
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2337.5,0.475506245649608
Tumor non-proliferating_stromal_aggregatedNeighbors.Fibroblasts,2339.0,0.47557751501749623
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.DCs,2683.0,0.47565383473871736
B cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2683.0,0.4773726103223692
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts,2683.5,0.48511580174802504
B cells_tumorfront_aggregatedNeighbors.Fibroblasts,2677.5,0.48612672566447446
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Fibroblasts,2346.0,0.4887369134156164
CD4 T cells memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,2678.0,0.4931023731399943
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,2677.0,0.5025732065082458
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2675.5,0.5058907504178096
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2672.5,0.5135765461544279
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,2668.0,0.5138590027995811
Myeloid DCs_stromal_aggregatedNeighbors.Fibroblasts,2353.5,0.5149450381842511
B cells_stromal_aggregatedNeighbors.Vessel,2353.5,0.5166108776175663
Vessel_tumorfront_aggregatedNeighbors.Fibroblasts,2356.0,0.5237949648578226
Tumor proliferating_tumorfront_aggregatedNeighbors.B.cells,2656.5,0.5263044176553769
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,2361.5,0.5319936937448958
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes,2661.5,0.536391251551142
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2658.5,0.5384921411962043
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2363.5,0.5404894569602399
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.B.cells,2649.5,0.5418054166822563
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2367.5,0.54838379673224
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,2367.5,0.5484262166694057
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.DCs,2657.5,0.5512479463419531
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,2657.0,0.5549920323345836
