,ROC AUC,Average Precision,N features,CVS
STABL,"0.675 [0.415, 0.917]","0.663 [0.397, 0.920]","3.000 [1.000, 4.000]","0.500 [0.250, 0.750]"
SS 03,"0.610 [0.293, 0.890] (p=0.147)","0.604 [0.357, 0.890] (p=0.187)","5.000 [5.000, 5.000] (p=3.580e-71)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.620 [0.313, 0.880] (p=0.183)","0.614 [0.347, 0.889] (p=0.119)","5.000 [4.750, 5.000] (p=1.776e-51)","1.000 [0.800, 1.000] (p=0.000e+00)"
SS 08,"0.700 [0.400, 0.990] (p=0.454)","0.599 [0.378, 0.987] (p=0.331)","1.000 [1.000, 1.000] (p=2.195e-27)","1.000 [1.000, 1.000] (p=0.000e+00)"
Lasso,"0.600 [0.286, 0.875] (p=0.159)","0.533 [0.347, 0.853] (p=0.145)","1.000 [1.000, 1.000] (p=3.471e-20)","1.000 [0.500, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.610 [0.308, 0.900] (p=0.197)","0.538 [0.332, 0.853] (p=0.172)","1.000 [1.000, 1.000] (p=9.104e-22)","1.000 [0.500, 1.000] (p=0.000e+00)"
ElasticNet,"0.610 [0.286, 0.900] (p=0.183)","0.538 [0.331, 0.857] (p=0.112)","1.000 [1.000, 1.000] (p=7.427e-19)","1.000 [0.500, 1.000] (p=0.000e+00)"
