,R2,RMSE,MAE,N features,CVS
STABL,"-0.011 [-0.047, -0.008]","751.457 [699.051, 801.389]","668.124 [615.626, 726.469]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"-0.453 [-1.831, 0.426]","900.974 [568.575, 1255.792]","556.042 [452.936, 676.864]","177.000 [171.250, 182.000] (p=7.295e-17)","0.781 [0.726, 0.836] (p=0.000e+00)"
SS 05,"-1.054 [-3.875, 0.356]","1071.175 [603.236, 1614.338]","571.759 [450.868, 725.447]","148.000 [144.000, 153.750] (p=7.288e-17)","0.777 [0.713, 0.836] (p=0.000e+00)"
SS 08,"0.048 [-0.336, 0.341]","729.412 [611.871, 866.344]","541.143 [468.332, 623.394]","94.000 [91.000, 97.000] (p=7.166e-17)","0.698 [0.612, 0.769] (p=0.000e+00)"
Lasso,"0.499 [0.375, 0.597]","529.241 [470.637, 586.176]","424.281 [372.263, 474.507]","34.000 [30.000, 37.000] (p=7.242e-17)","0.400 [0.345, 0.457] (p=0.000e+00)"
Lasso 1SE,"0.499 [0.383, 0.588]","529.241 [472.896, 587.768]","424.281 [375.174, 474.116]","34.000 [30.000, 37.000] (p=7.242e-17)","0.400 [0.345, 0.457] (p=0.000e+00)"
ElasticNet,"0.362 [0.069, 0.553]","596.966 [491.304, 722.453]","453.948 [399.653, 519.505]","359.000 [347.500, 364.750] (p=1.224e-19)","0.771 [0.725, 0.829] (p=0.000e+00)"
