,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.410 [0.177, 0.646]","0.489 [0.266, 0.796]","2.000 [0.000, 4.000]","0.000 [0.000, 0.333]",5.005e-01
SS 03,"0.430 [0.176, 0.717] (p=0.434)","0.475 [0.276, 0.804] (p=0.444)","7.000 [7.000, 7.000] (p=1.023e-68)","1.000 [1.000, 1.000] (p=0.000e+00)",6.227e-01
SS 05,"0.460 [0.198, 0.740] (p=0.382)","0.483 [0.290, 0.787] (p=0.469)","7.000 [7.000, 7.000] (p=4.814e-66)","1.000 [1.000, 1.000] (p=0.000e+00)",7.910e-01
SS 08,"0.105 [0.000, 0.303] (p=0.017)","0.355 [0.201, 0.612] (p=0.144)","1.000 [0.000, 1.000] (p=1.024e-04)","0.000 [0.000, 1.000] (p=4.533e-203)",2.811e-03
Lasso,"0.560 [0.297, 0.813] (p=0.067)","0.577 [0.345, 0.896] (p=0.194)","6.500 [6.000, 7.000] (p=1.836e-45)","0.857 [0.667, 1.000] (p=0.000e+00)",6.776e-01
Lasso 1SE,"0.560 [0.273, 0.813] (p=0.075)","0.577 [0.339, 0.889] (p=0.203)","6.500 [6.000, 7.000] (p=1.836e-45)","0.857 [0.667, 1.000] (p=0.000e+00)",6.776e-01
ElasticNet,"0.630 [0.364, 0.868] (p=0.016)","0.707 [0.443, 0.918] (p=0.047)","7.000 [6.000, 7.000] (p=7.723e-51)","0.857 [0.714, 1.000] (p=0.000e+00)",3.447e-01
