,C'=' 0.010,C'=' 0.044,C'=' 0.078,C'=' 0.112,C'=' 0.147,C'=' 0.181,C'=' 0.215,C'=' 0.249,C'=' 0.283,C'=' 0.317,C'=' 0.351,C'=' 0.386,C'=' 0.420,C'=' 0.454,C'=' 0.488,C'=' 0.522,C'=' 0.556,C'=' 0.590,C'=' 0.624,C'=' 0.659,C'=' 0.693,C'=' 0.727,C'=' 0.761,C'=' 0.795,C'=' 0.829,C'=' 0.863,C'=' 0.898,C'=' 0.932,C'=' 0.966,C'=' 1.000
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.017,0.036,0.057,0.08,0.097,0.112,0.123,0.138,0.155,0.17,0.178,0.185,0.192,0.197,0.203,0.209,0.216,0.22,0.225,0.228
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.014,0.02,0.036,0.047,0.055,0.065,0.071,0.074,0.085,0.087,0.104,0.108,0.115,0.121,0.126,0.13,0.132,0.134
artificial.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.003,0.005,0.006,0.012,0.015,0.018,0.025,0.028,0.032,0.034,0.042,0.045,0.046,0.049,0.049,0.052,0.053,0.056
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.004,0.004,0.007,0.01,0.015,0.017,0.017,0.019,0.024,0.024,0.029,0.032,0.034,0.035,0.036,0.036
artificial.5,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.029,0.087,0.168,0.232,0.268,0.296,0.32,0.343,0.359,0.376,0.393,0.408,0.417,0.43,0.437,0.445,0.457,0.466,0.473,0.477,0.482,0.487
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.046,0.109,0.163,0.234,0.288,0.319,0.36,0.388,0.413,0.439,0.45,0.466,0.476,0.49,0.504,0.521,0.533,0.543,0.546,0.56,0.564,0.569
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.009,0.013,0.016,0.021,0.025,0.033,0.039,0.049,0.054,0.067,0.072,0.078,0.082,0.087,0.091,0.098,0.1,0.106,0.11,0.116,0.12
artificial.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.024,0.046,0.065,0.086,0.112,0.134,0.157,0.172,0.187,0.206,0.215,0.232,0.242,0.255,0.269,0.276,0.285,0.297,0.305
artificial.9,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.003,0.005,0.008,0.014,0.021,0.029,0.033,0.039,0.041,0.042,0.047,0.051,0.052,0.055,0.056,0.057,0.06,0.06,0.06,0.063,0.065,0.068
artificial.10,0.0,0.0,0.0,0.001,0.004,0.004,0.004,0.004,0.005,0.006,0.01,0.021,0.046,0.061,0.078,0.096,0.109,0.122,0.136,0.152,0.162,0.173,0.178,0.186,0.196,0.202,0.207,0.212,0.216,0.219
artificial.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.004,0.006,0.011,0.015,0.019,0.019,0.025,0.032,0.035,0.037,0.04,0.042,0.046,0.052,0.057
artificial.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.012,0.075,0.147,0.213,0.248,0.286,0.32,0.346,0.362,0.376,0.39,0.403,0.418,0.433,0.446,0.46,0.469,0.479,0.488,0.493
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.038,0.079,0.148,0.229,0.284,0.325,0.371,0.4,0.436,0.46,0.488,0.506,0.529,0.55,0.564,0.585,0.6,0.608,0.62,0.635,0.642
artificial.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.004,0.007,0.016,0.019,0.022,0.027,0.031,0.038,0.042,0.045,0.05,0.053,0.055,0.06,0.063,0.065,0.069
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.012,0.028,0.046,0.063,0.079,0.092,0.105,0.116,0.126,0.133,0.139,0.151,0.156,0.163,0.166,0.169,0.173,0.175,0.18,0.189
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.047,0.085,0.131,0.166,0.202,0.23,0.256,0.274,0.294,0.312,0.326,0.331,0.341,0.351,0.361,0.373,0.383,0.391,0.404,0.409
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.02,0.078,0.177,0.317,0.437,0.564,0.651,0.711,0.741,0.758,0.769,0.78,0.788,0.794,0.799,0.805,0.814,0.82,0.825,0.83,0.834,0.842,0.843
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.035,0.071,0.103,0.144,0.179,0.217,0.247,0.275,0.293,0.319,0.345,0.363,0.38,0.401,0.409,0.427,0.44,0.448,0.453,0.466,0.471,0.481
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.01,0.024,0.043,0.068,0.095,0.128,0.166,0.196,0.226,0.243,0.28,0.297,0.318,0.341,0.361,0.373,0.379,0.39,0.398,0.407
artificial.20,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.012,0.028,0.047,0.072,0.105,0.142,0.182,0.221,0.255,0.294,0.33,0.353,0.38,0.416,0.432,0.453,0.467,0.481,0.495,0.509,0.519,0.527,0.54
