,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.670 [0.400, 0.917]","0.785 [0.550, 0.941]","1.000 [1.000, 2.000]","0.500 [0.500, 1.000]",2.123e-01
SS 03,"0.430 [0.177, 0.710] (p=0.029)","0.480 [0.280, 0.802] (p=0.027)","5.000 [5.000, 5.000] (p=1.887e-62)","1.000 [0.833, 1.000] (p=0.000e+00)",6.232e-01
SS 05,"0.490 [0.231, 0.760] (p=0.115)","0.504 [0.289, 0.846] (p=0.041)","5.000 [5.000, 5.000] (p=9.976e-62)","1.000 [0.833, 1.000] (p=0.000e+00)",9.698e-01
SS 08,"0.730 [0.458, 0.958] (p=0.131)","0.818 [0.587, 0.963] (p=0.139)","1.000 [1.000, 1.000] (p=5.942e-11)","1.000 [1.000, 1.000] (p=0.000e+00)",8.897e-02
Lasso,"0.860 [0.680, 1.000] (p=0.046)","0.886 [0.713, 0.992] (p=0.164)","1.000 [1.000, 1.000] (p=3.512e-07)","1.000 [1.000, 1.000] (p=0.000e+00)",7.285e-03
Lasso 1SE,"0.890 [0.719, 1.000] (p=0.044)","0.902 [0.732, 1.000] (p=0.161)","1.000 [1.000, 1.000] (p=3.512e-07)","1.000 [1.000, 1.000] (p=0.000e+00)",3.611e-03
ElasticNet,"0.830 [0.616, 0.980] (p=0.121)","0.857 [0.625, 0.987] (p=0.284)","1.000 [1.000, 1.000] (p=1.421e-04)","1.000 [1.000, 1.000] (p=0.000e+00)",1.402e-02
