,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.415 [0.179, 0.637]","0.520 [0.261, 0.772]","0.500 [0.000, 4.000]","0.000 [0.000, 0.000]",5.182e-01
SS 03,"0.520 [0.242, 0.771] (p=0.221)","0.573 [0.319, 0.860] (p=0.348)","5.000 [5.000, 5.000] (p=3.359e-61)","1.000 [1.000, 1.000] (p=0.000e+00)",9.097e-01
SS 05,"0.520 [0.242, 0.771] (p=0.227)","0.573 [0.304, 0.845] (p=0.352)","5.000 [5.000, 5.000] (p=3.359e-61)","1.000 [1.000, 1.000] (p=0.000e+00)",9.097e-01
SS 08,"0.495 [0.357, 0.625] (p=0.292)","0.500 [0.278, 0.721] (p=0.436)","0.000 [0.000, 0.000] (p=5.251e-21)","0.000 [0.000, 0.000] (p=0.000e+00)",1.000e+00
Lasso,"0.620 [0.351, 0.865] (p=0.061)","0.645 [0.369, 0.913] (p=0.139)","2.000 [2.000, 3.000] (p=8.925e-09)","0.667 [0.500, 1.000] (p=0.000e+00)",3.847e-01
Lasso 1SE,"0.640 [0.374, 0.875] (p=0.037)","0.590 [0.354, 0.943] (p=0.268)","2.000 [2.000, 3.000] (p=1.307e-07)","0.667 [0.500, 1.000] (p=0.000e+00)",3.075e-01
ElasticNet,"0.730 [0.479, 0.917] (p=0.002)","0.777 [0.551, 0.952] (p=0.023)","3.000 [3.000, 4.000] (p=5.876e-18)","0.750 [0.667, 1.000] (p=0.000e+00)",8.897e-02
