,Feature Name
Feature n°1,CHI3L1
Feature n°2,EBI3_IL27
Feature n°3,FCRLB
Feature n°4,IFNGR2
Feature n°5,KIR2DL3
Feature n°6,MLN
Feature n°7,NDRG1
Feature n°8,PLA2G15
