,ROC AUC,Average Precision,N features,CVS
STABL,"0.630 [0.333, 0.885]","0.747 [0.484, 0.938]","1.500 [1.000, 2.000]","0.500 [0.000, 1.000]"
SS 03,"0.670 [0.400, 0.917] (p=0.375)","0.652 [0.418, 0.959] (p=0.473)","3.500 [3.000, 4.000] (p=5.900e-64)","0.750 [0.750, 1.000] (p=0.000e+00)"
SS 05,"0.700 [0.437, 0.930] (p=0.224)","0.760 [0.507, 0.954] (p=0.426)","3.000 [3.000, 4.000] (p=2.917e-60)","0.750 [0.667, 1.000] (p=0.000e+00)"
SS 08,"0.730 [0.453, 0.956] (p=0.137)","0.783 [0.538, 0.964] (p=0.352)","2.000 [2.000, 2.000] (p=8.838e-27)","1.000 [0.667, 1.000] (p=0.000e+00)"
Lasso,"0.730 [0.465, 0.956] (p=0.12)","0.783 [0.525, 0.958] (p=0.308)","3.000 [3.000, 3.000] (p=3.520e-55)","1.000 [0.667, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.730 [0.480, 0.940] (p=0.135)","0.783 [0.521, 0.967] (p=0.301)","3.000 [3.000, 3.000] (p=3.520e-55)","1.000 [0.667, 1.000] (p=0.000e+00)"
ElasticNet,"0.730 [0.469, 0.938] (p=0.171)","0.770 [0.530, 0.959] (p=0.379)","3.000 [3.000, 3.000] (p=3.385e-67)","1.000 [1.000, 1.000] (p=0.000e+00)"
