,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.180 [0.040, 0.390]","0.387 [0.218, 0.625]","2.500 [0.000, 4.000]","0.000 [0.000, 0.333]",1.254e-02
SS 03,"0.200 [0.021, 0.440] (p=0.427)","0.381 [0.224, 0.658] (p=0.423)","7.000 [7.000, 7.000] (p=5.217e-58)","1.000 [0.750, 1.000] (p=0.000e+00)",2.575e-02
SS 05,"0.260 [0.050, 0.526] (p=0.242)","0.398 [0.240, 0.689] (p=0.394)","6.000 [6.000, 6.000] (p=6.430e-56)","1.000 [0.714, 1.000] (p=0.000e+00)",7.566e-02
SS 08,"0.350 [0.154, 0.556] (p=0.053)","0.470 [0.242, 0.711] (p=0.029)","0.000 [0.000, 0.250] (p=3.110e-12)","0.000 [0.000, 0.000] (p=0.000e+00)",1.497e-01
Lasso,"0.370 [0.175, 0.600] (p=0.079)","0.474 [0.254, 0.710] (p=0.129)","0.000 [0.000, 1.000] (p=2.622e-13)","0.000 [0.000, 0.000] (p=0.000e+00)",2.675e-01
Lasso 1SE,"0.370 [0.182, 0.593] (p=0.087)","0.474 [0.259, 0.732] (p=0.123)","0.000 [0.000, 1.000] (p=1.816e-13)","0.000 [0.000, 0.000] (p=0.000e+00)",2.675e-01
ElasticNet,"0.420 [0.170, 0.708] (p=0.09)","0.494 [0.282, 0.830] (p=0.07)","0.000 [0.000, 1.000] (p=1.816e-13)","0.000 [0.000, 0.000] (p=0.000e+00)",5.708e-01
