,Fold selected features,Fold nb of features
Fold 74,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 75,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 76,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 77,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 78,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 79,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 80,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 81,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 82,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 83,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 84,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 85,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 86,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 87,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 88,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 89,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 90,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 91,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 92,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 93,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 94,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 95,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 96,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 97,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 98,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 99,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 100,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 101,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 102,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 103,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 104,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 105,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 106,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 107,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 108,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 109,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 110,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 111,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 112,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 113,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 114,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 115,"['CREB', 'STAT3', 'S6', 'IkB']",4
Fold 116,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
Fold 117,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 118,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 119,"['MAPKAPK2', 'STAT3', 'S6', 'Frequency']",4
Fold 120,"['CREB', 'MAPKAPK2', 'STAT3', 'S6', 'Frequency']",5
