,Feature Name
Feature n°1,CCR2nncMC_NFkB
Feature n°2,CCR2nncMC_MAPKAPK2
Feature n°3,CCR2nncMC_Frequency
Feature n°4,CCR2pcMC_Frequency
Feature n°5,CD4Tnaive_Frequency
Feature n°6,CD56brightCD16nNKcells_Frequency
Feature n°7,CD56dimCD16pNKcells_Frequency
Feature n°8,CD61pCD41pPLT_CREB
Feature n°9,CD61pCD41pPLT_STAT3
Feature n°10,CD62LnAgedNeutrophils_S6
Feature n°11,MDSC_Frequency
Feature n°12,Th1mem_S6
Feature n°13,Th1naive_CREB
Feature n°14,Th1naive_MAPKAPK2
