,ROC AUC,Average Precision,N features,CVS
STABL,"0.250 [0.057, 0.500]","0.404 [0.242, 0.651]","6.000 [0.000, 17.500]","0.000 [0.000, 0.265]"
SS 03,"0.560 [0.275, 0.844] (p=0.043)","0.534 [0.333, 0.882] (p=0.085)","1.000 [1.000, 1.250] (p=8.255e-02)","0.500 [0.500, 1.000] (p=1.710e-40)"
SS 05,"0.350 [0.208, 0.500] (p=0.251)","0.500 [0.300, 0.700] (p=0.055)","0.000 [0.000, 0.000] (p=2.769e-04)","0.000 [0.000, 0.000] (p=6.250e-20)"
SS 08,"0.500 [0.500, 0.500] (p=0.039)","0.500 [0.300, 0.700] (p=0.045)","0.000 [0.000, 0.000] (p=2.563e-05)","0.000 [0.000, 0.000] (p=1.052e-22)"
Lasso,"0.190 [0.051, 0.375] (p=0.32)","0.379 [0.216, 0.643] (p=0.245)","1.000 [0.000, 14.000] (p=2.001e-01)","0.000 [0.000, 0.000] (p=5.370e-05)"
Lasso 1SE,"0.180 [0.047, 0.334] (p=0.266)","0.374 [0.223, 0.616] (p=0.213)","0.500 [0.000, 14.250] (p=1.952e-01)","0.000 [0.000, 0.000] (p=3.498e-05)"
ElasticNet,"0.350 [0.110, 0.607] (p=0.258)","0.518 [0.281, 0.791] (p=0.115)","8.500 [2.250, 85.000] (p=1.349e-01)","0.067 [0.000, 0.293] (p=4.484e-02)"
