,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.525 [0.250, 0.802]","0.513 [0.297, 0.848]","4.000 [3.000, 4.000]","0.667 [0.500, 0.750]",8.794e-01
SS 03,"0.765 [0.521, 0.950] (p=0.004)","0.723 [0.455, 0.970] (p=0.001)","8.000 [7.750, 8.000] (p=2.158e-58)","1.000 [0.875, 1.000] (p=0.000e+00)",4.851e-02
SS 05,"0.580 [0.302, 0.828] (p=0.268)","0.547 [0.317, 0.843] (p=0.298)","5.000 [4.000, 5.000] (p=1.133e-22)","0.800 [0.667, 0.833] (p=0.000e+00)",5.580e-01
SS 08,"0.360 [0.214, 0.500] (p=0.136)","0.453 [0.242, 0.670] (p=0.294)","0.000 [0.000, 0.000] (p=2.214e-73)","0.000 [0.000, 0.000] (p=0.000e+00)",1.007e-01
Lasso,"0.610 [0.313, 0.868] (p=0.247)","0.701 [0.467, 0.925] (p=0.119)","5.500 [4.000, 7.000] (p=5.195e-19)","0.571 [0.429, 0.800] (p=1.066e-168)",4.274e-01
Lasso 1SE,"0.610 [0.347, 0.850] (p=0.23)","0.701 [0.422, 0.917] (p=0.1)","5.500 [4.000, 7.000] (p=1.415e-16)","0.571 [0.429, 0.750] (p=1.943e-231)",4.274e-01
ElasticNet,"0.720 [0.440, 0.970] (p=0.069)","0.751 [0.479, 0.976] (p=0.07)","6.000 [4.000, 7.500] (p=3.123e-31)","0.667 [0.556, 0.800] (p=4.424e-06)",1.041e-01
