,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.680 [0.414, 0.917]","0.683 [0.416, 0.975]","3.000 [2.000, 3.000]","0.667 [0.333, 1.000]",1.859e-01
SS 03,"0.610 [0.308, 0.906] (p=0.153)","0.653 [0.386, 0.950] (p=0.176)","6.000 [6.000, 6.250] (p=4.022e-62)","0.857 [0.857, 1.000] (p=0.000e+00)",4.274e-01
SS 05,"0.710 [0.434, 0.956] (p=0.455)","0.803 [0.570, 0.958] (p=0.477)","4.000 [4.000, 5.000] (p=2.871e-38)","0.800 [0.600, 0.800] (p=0.000e+00)",1.212e-01
SS 08,"0.760 [0.489, 0.990] (p=0.191)","0.858 [0.638, 0.992] (p=0.205)","1.000 [1.000, 1.000] (p=2.453e-58)","1.000 [1.000, 1.000] (p=0.000e+00)",5.390e-02
Lasso,"0.720 [0.455, 0.956] (p=0.394)","0.831 [0.609, 0.969] (p=0.291)","1.000 [1.000, 1.250] (p=1.425e-30)","1.000 [0.500, 1.000] (p=1.190e-127)",1.041e-01
Lasso 1SE,"0.710 [0.414, 0.947] (p=0.429)","0.827 [0.600, 0.969] (p=0.302)","1.000 [1.000, 1.250] (p=1.425e-30)","1.000 [0.500, 1.000] (p=1.190e-127)",1.212e-01
ElasticNet,"0.720 [0.451, 0.960] (p=0.381)","0.830 [0.627, 0.973] (p=0.297)","1.000 [1.000, 2.000] (p=1.440e-27)","1.000 [0.500, 1.000] (p=3.099e-33)",1.041e-01
