,ROC AUC,Average Precision,N features,CVS
STABL,"0.405 [0.273, 0.500]","0.476 [0.269, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.250 [0.044, 0.500] (p=0.174)","0.391 [0.218, 0.663] (p=0.098)","8.000 [8.000, 9.000] (p=1.300e-08)","0.500 [0.429, 0.600] (p=2.038e-71)"
SS 05,"0.520 [0.252, 0.771] (p=0.267)","0.568 [0.323, 0.843] (p=0.217)","1.000 [0.000, 2.000] (p=2.534e-03)","0.000 [0.000, 0.500] (p=1.256e-16)"
SS 08,"0.500 [0.500, 0.500] (p=0.214)","0.500 [0.250, 0.700] (p=0.483)","0.000 [0.000, 0.000] (p=1.624e-01)","0.000 [0.000, 0.000] (p=3.199e-01)"
Lasso,"0.440 [0.160, 0.725] (p=0.382)","0.605 [0.344, 0.830] (p=0.11)","8.500 [0.750, 12.000] (p=3.547e-05)","0.077 [0.000, 0.312] (p=2.119e-29)"
Lasso 1SE,"0.480 [0.212, 0.747] (p=0.292)","0.607 [0.333, 0.851] (p=0.111)","8.500 [0.000, 12.000] (p=1.992e-04)","0.000 [0.000, 0.309] (p=1.682e-21)"
ElasticNet,"0.190 [0.031, 0.444] (p=0.08)","0.375 [0.223, 0.646] (p=0.048)","2.500 [0.000, 13.250] (p=8.006e-04)","0.000 [0.000, 0.113] (p=9.062e-17)"
