feature,coefficient
CD69negCD56loCD16negNK_STAT1_IFNa,14.814031300429427
NK_CREB_LPS,3.4149292692210147
CD69posCD8Tmem_MAPKAPK2_IFNa,1.5791334300773852
CD4Tef_p38_IFNa,1.2466218097460342
CCR5posCCR2posCD4Tem_CREB_IFNa,0.9661783041778762
Granulocytes_p38_unstim,0.9113658353486462
Tregs_p38_unstim,0.7256891232765288
NKT_CREB_IFNa,0.6305747768826121
Th1_p38_IFNa,0.6037462938531055
pDCs_NFkB_IL246,0.4436977527853455
pDCs_p38_unstim,0.3415624585343898
CCR2negncMCs_IkB_IFNa,0.24610406871987198
CD8Tcm_CREB_IFNa,0.1272662801154563
CD8Tef_S6_IL246,-0.0849557869694856
DCs_STAT6_IFNa,-0.29509843517576106
Granulocytes_CREB_GMCSF,-0.4648467430293188
CD4Tem_MAPKAPK2_unstim,-0.49412995119181174
CD56hiCD16negNK_MAPKAPK2_unstim,-0.6878167730663892
DCs_STAT6_IL246,-0.7887208170570676
CD8Tcm_NFkB_IFNa,-1.1595223022204255
DCs_MAPKAPK2_unstim,-1.1773600625692506
CCR5posCCR2posCD8Tcm_S6_IL246,-1.2533209862488461
CCR2posintMCs_S6_GMCSF,-1.4514669439614916
CD4Tef,-1.9313080334848758
Bcells,-2.0471658402819215
CD69posCD56loCD16negNK_S6_IFNa,-2.5160119540818915
mDCs,-2.738400184541571
ncMCs_CREB_GMCSF,-3.871087296291887
CD69posCD4Tmem_MAPKAPK2_unstim,-5.08495249550732
Granulocytes,-7.401227364007119
