,ROC AUC,Average Precision,N features,CVS
STABL,"0.225 [0.071, 0.396]","0.399 [0.212, 0.645]","0.000 [0.000, 6.000]","0.000 [0.000, 0.000]"
SS 03,"0.160 [0.000, 0.418] (p=0.342)","0.437 [0.228, 0.700] (p=0.358)","9.000 [9.000, 9.000] (p=2.041e-40)","1.000 [0.889, 1.000] (p=0.000e+00)"
SS 05,"0.220 [0.031, 0.473] (p=0.467)","0.396 [0.238, 0.691] (p=0.472)","7.000 [6.000, 7.000] (p=7.042e-19)","0.857 [0.750, 1.000] (p=0.000e+00)"
SS 08,"0.415 [0.155, 0.680] (p=0.08)","0.479 [0.270, 0.762] (p=0.076)","1.000 [0.000, 1.000] (p=9.002e-02)","0.000 [0.000, 1.000] (p=0.000e+00)"
Lasso,"0.250 [0.077, 0.409] (p=0.4)","0.387 [0.218, 0.614] (p=0.504)","0.000 [0.000, 0.250] (p=2.578e-06)","0.000 [0.000, 0.000] (p=4.315e-188)"
Lasso 1SE,"0.250 [0.083, 0.400] (p=0.437)","0.387 [0.210, 0.613] (p=0.473)","0.000 [0.000, 0.250] (p=2.578e-06)","0.000 [0.000, 0.000] (p=4.315e-188)"
ElasticNet,"0.310 [0.063, 0.583] (p=0.297)","0.508 [0.250, 0.785] (p=0.117)","0.000 [0.000, 0.000] (p=7.679e-11)","0.000 [0.000, 0.000] (p=0.000e+00)"
