,R2,RMSE,MAE,N features,CVS
STABL,"-0.025 [-0.104, 0.004]","32.559 [29.918, 35.134]","28.718 [26.257, 31.121]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"-3.264 [-8.276, 0.009]","66.408 [30.894, 96.725]","30.913 [22.718, 40.678]","172.500 [168.000, 178.750] (p=1.951e-15)","0.789 [0.717, 0.842] (p=0.000e+00)"
SS 05,"-5.347 [-13.095, -0.356]","81.021 [37.518, 119.568]","37.172 [27.639, 50.534]","145.000 [141.000, 150.500] (p=2.236e-14)","0.790 [0.697, 0.838] (p=0.000e+00)"
SS 08,"-3.407 [-8.214, -0.159]","67.514 [33.311, 101.050]","33.898 [26.008, 44.229]","88.500 [86.000, 92.000] (p=4.543e-14)","0.712 [0.571, 0.772] (p=0.000e+00)"
Lasso,"0.296 [0.026, 0.497]","26.992 [22.145, 32.170]","20.307 [17.587, 23.170]","24.500 [19.000, 29.000] (p=5.274e-14)","0.341 [0.262, 0.421] (p=0.000e+00)"
Lasso 1SE,"0.296 [0.032, 0.506]","26.992 [22.248, 31.941]","20.307 [17.624, 23.109]","24.500 [19.000, 29.000] (p=5.274e-14)","0.341 [0.262, 0.421] (p=0.000e+00)"
ElasticNet,"0.060 [-0.467, 0.471]","31.186 [22.839, 39.871]","21.772 [18.654, 25.544]","121.500 [115.250, 130.000] (p=4.361e-14)","0.561 [0.514, 0.616] (p=0.000e+00)"
