,Associated weight
mDC_predictions,9.763293225537225
CD62LnAgedNeutrophils_predictions,9.3002263671246
NKT_predictions,8.721428500342155
CD41hiCD61hiPLT_predictions,7.879785203314431
Th1mem_predictions,7.750222824526952
CCR2pcMC_predictions,7.521210087083759
CD4Tnaive_predictions,6.438949097915884
Tregnaive_predictions,4.359062503022636
CD4Tcm_predictions,4.251053102630418
intMC_predictions,4.100320918247077
CD8Trm_predictions,3.7643397738350934
CD56brightCD16nNKcells_predictions,3.4441085017642994
Bcells_predictions,3.1825136507599296
pDC_predictions,3.116012764623467
CD62LpImmatureNeutrophils_predictions,2.940583586506383
CD8Tnaive_predictions,2.8935897381046702
gdTcells_predictions,2.8255140823678913
CD56dimCD16pNKcells_predictions,2.8029483510943076
Tregmem_predictions,2.786802680182887
CD4Trm_predictions,2.105511589398148
CD4Tem_predictions,1.7680849078408722
CD8Tcm_predictions,1.4373501133455302
CD8Tem_predictions,1.3970794422657595
Th1naive_predictions,1.3187999039914888
CD61pCD41pPLT_predictions,0.9552701225089999
MDSC_predictions,0.8597767292116199
CCR2nncMC_predictions,0.7025461194707872
