,Spearman corr,pvalue
ERK,0.3126300634313437,0.1795861489225205
STAT3,-0.1907641932953064,0.42045602297364715
STAT6,-0.1387897815447847,0.5595182929201575
MAPKAPK2,0.1387375951238592,0.5596674186533706
Frequency,-0.1213953957333768,0.6101689948464966
NFkB,-0.10405319634289441,0.6624265026477676
STAT5,-0.0693687975619296,0.7713562200019073
CREB,-0.0693687975619296,0.7713562200019073
p38,0.05315774339537505,0.8238638006409267
IkB,0.052026598171447204,0.827557337051562
S6,-0.0173421993904824,0.9421499835467455
STAT1,,
