,ROC AUC,Average Precision,N features,CVS
STABL,"0.700 [0.427, 0.929]","0.792 [0.554, 0.953]","2.000 [2.000, 3.000]","0.500 [0.250, 0.667]"
SS 03,"0.670 [0.385, 0.930] (p=0.388)","0.789 [0.528, 0.957] (p=0.482)","4.000 [4.000, 4.000] (p=3.331e-49)","1.000 [0.800, 1.000] (p=0.000e+00)"
SS 05,"0.650 [0.345, 0.909] (p=0.355)","0.780 [0.514, 0.948] (p=0.458)","4.000 [4.000, 4.000] (p=8.649e-44)","0.800 [0.600, 1.000] (p=0.000e+00)"
SS 08,"0.690 [0.444, 0.917] (p=0.46)","0.762 [0.481, 0.937] (p=0.366)","2.000 [2.000, 2.000] (p=3.500e-03)","0.500 [0.333, 1.000] (p=0.000e+00)"
Lasso,"0.660 [0.381, 0.899] (p=0.307)","0.754 [0.498, 0.933] (p=0.272)","4.000 [4.000, 4.000] (p=3.190e-44)","0.800 [0.667, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.660 [0.396, 0.900] (p=0.308)","0.754 [0.493, 0.937] (p=0.273)","4.000 [4.000, 4.000] (p=8.919e-44)","0.750 [0.600, 1.000] (p=0.000e+00)"
ElasticNet,"0.670 [0.414, 0.896] (p=0.376)","0.741 [0.498, 0.932] (p=0.291)","4.000 [4.000, 4.250] (p=1.091e-42)","0.750 [0.600, 0.800] (p=0.000e+00)"
