,ROC AUC,Average Precision,N features,CVS
STABL,"0.640 [0.338, 0.889]","0.649 [0.350, 0.914]","7.500 [4.000, 9.250]","0.444 [0.308, 0.600]"
SS 03,"0.790 [0.550, 0.978] (p=0.103)","0.807 [0.528, 0.976] (p=0.197)","12.000 [11.000, 13.000] (p=1.838e-05)","0.769 [0.667, 0.846] (p=1.027e-41)"
SS 05,"0.780 [0.542, 0.960] (p=0.138)","0.811 [0.582, 0.978] (p=0.205)","11.000 [10.000, 11.000] (p=1.312e-04)","0.750 [0.638, 0.833] (p=3.588e-36)"
SS 08,"0.840 [0.626, 0.989] (p=0.052)","0.874 [0.672, 0.990] (p=0.095)","7.000 [5.750, 7.000] (p=4.499e-01)","0.714 [0.571, 0.875] (p=2.043e-25)"
Lasso,"0.800 [0.582, 0.967] (p=0.119)","0.825 [0.573, 0.976] (p=0.188)","10.000 [8.750, 11.000] (p=2.944e-03)","0.538 [0.417, 0.692] (p=5.550e-07)"
Lasso 1SE,"0.800 [0.556, 0.960] (p=0.114)","0.825 [0.597, 0.983] (p=0.198)","10.000 [8.750, 11.000] (p=4.637e-03)","0.538 [0.388, 0.667] (p=5.796e-06)"
ElasticNet,"0.820 [0.562, 0.979] (p=0.078)","0.852 [0.639, 0.984] (p=0.15)","17.500 [14.750, 19.250] (p=6.560e-07)","0.618 [0.500, 0.700] (p=4.768e-17)"
