,Fold selected features,Fold nb of features
Fold 137,"['S6', 'IkB', 'NFkB', 'CREB']",4
Fold 138,"['S6', 'IkB', 'MAPKAPK2', 'CREB']",4
Fold 139,"['S6', 'IkB', 'CREB']",3
Fold 140,['S6'],1
Fold 141,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB', 'Frequency']",6
Fold 142,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 143,"['S6', 'IkB']",2
Fold 144,"['S6', 'IkB', 'CREB']",3
Fold 145,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB']",5
Fold 146,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 147,[],0
Fold 148,['S6'],1
Fold 149,"['S6', 'IkB', 'MAPKAPK2', 'CREB']",4
Fold 150,['S6'],1
Fold 151,"['S6', 'NFkB']",2
Fold 152,"['S6', 'IkB', 'CREB']",3
Fold 153,['S6'],1
Fold 154,"['S6', 'IkB', 'NFkB', 'CREB']",4
Fold 155,"['S6', 'IkB']",2
Fold 156,['S6'],1
Fold 157,"['S6', 'NFkB']",2
Fold 158,[],0
Fold 159,"['S6', 'IkB', 'CREB']",3
Fold 160,['S6'],1
Fold 161,[],0
Fold 162,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 163,"['S6', 'NFkB']",2
Fold 164,"['S6', 'IkB']",2
Fold 165,['S6'],1
Fold 166,"['S6', 'IkB', 'CREB']",3
Fold 167,"['STAT3', 'S6', 'IkB', 'MAPKAPK2', 'CREB']",5
Fold 168,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 169,"['S6', 'IkB']",2
Fold 170,['S6'],1
Fold 171,['S6'],1
Fold 172,"['S6', 'IkB', 'NFkB', 'CREB']",4
Fold 173,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB']",5
Fold 174,"['S6', 'IkB', 'CREB']",3
Fold 175,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB', 'Frequency']",6
Fold 176,['S6'],1
Fold 177,[],0
Fold 178,"['S6', 'NFkB']",2
Fold 179,"['S6', 'IkB', 'CREB']",3
Fold 180,"['S6', 'IkB', 'CREB']",3
Fold 181,['S6'],1
Fold 182,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 183,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB']",5
Fold 184,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 185,"['S6', 'IkB']",2
Fold 186,['S6'],1
Fold 187,['S6'],1
Fold 188,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB', 'Frequency']",6
Fold 189,"['S6', 'IkB', 'CREB']",3
Fold 190,"['S6', 'NFkB']",2
Fold 191,['S6'],1
Fold 192,"['S6', 'IkB', 'MAPKAPK2', 'CREB']",4
Fold 193,[],0
Fold 194,"['S6', 'IkB']",2
Fold 195,"['S6', 'NFkB']",2
Fold 196,"['S6', 'IkB', 'CREB']",3
Fold 197,['S6'],1
Fold 198,"['S6', 'IkB', 'NFkB', 'CREB']",4
Fold 199,[],0
