,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.011440464,0.061652381,0.211060911,0.0,0.0,0.029929565,0.119076379,0.084242047,0.0,0.0,0.121423747
1330,0.0,0.0,0.0,0.0,0.0,0.037471838,0.11564978,0.072589397,0.0,0.0,0.0
1331,0.0,0.043209433,0.122819034,0.0,0.118273372,0.005811064,0.115343253,0.093747792,0.0,0.0,0.049215173
1337,0.0,0.0,0.0,0.0,0.0,0.011493561,0.087139672,0.011893015,0.0,0.0,0.0
1357,0.043912281,0.018744133,0.163506794,0.0,0.0,0.056686171,0.113387087,0.114667389,0.0,0.0,0.133413729
1377,0.0,0.051846233,0.299652555,0.0,0.078554442,0.017665807,0.10095149,0.104866398,0.0,0.0,0.086650563
1381,0.0,0.0,0.137139051,0.0,0.0,0.0,0.096821028,0.047319007,0.0,0.0,0.0
1400,0.0,0.0,0.369496742,0.0,0.0,0.0,0.057839831,0.116105565,0.0,0.0,0.197089272
1414,0.0,0.027947608,0.189744139,0.0,0.0,0.019465584,0.094485758,0.12385784,0.0,0.0,0.077053642
1418,0.030014216,0.054472832,0.28889195,0.0,0.0,0.023658247,0.069061116,0.100141057,0.0,0.0,0.155946886
1427,0.0,0.0,0.142368188,0.0,0.0,0.037842222,0.089594605,0.061152718,0.0,0.0,0.02599385
1428,0.0,0.013464251,0.109823608,0.0,0.0,0.038542114,0.094349015,0.068552329,0.0,0.0,0.028034682
1431,0.018410933,0.090489571,0.140702145,0.0,0.101852629,0.067689447,0.107097411,0.10710873,0.0,0.0,0.059362743
1464,0.0,0.071438556,0.0,0.0,0.0,0.052598235,0.148982188,0.126993393,0.0,0.0,0.0
1469,0.0,0.0,0.116365347,0.0,0.0,0.064630559,0.102544764,0.074208099,0.0,0.0,0.057754673
1472,0.0,0.0,0.046468853,0.0,0.0,0.180420508,0.181904316,0.133337394,0.0,0.0,0.0
1473,0.020420224,0.006347699,0.198307606,0.0,0.0,0.224672267,0.078051449,0.107878697,0.0,0.0,0.091414069
1475,0.0,0.009740634,0.0,0.0,0.0,0.10714999,0.054796324,0.033982191,0.0,0.0,0.0
1480,0.0,0.019049909,0.148341468,0.0,0.0,0.228771922,0.126367069,0.093425862,0.0,0.0,0.066615041
1488,0.000283944,0.094817316,0.072487913,0.0,0.121843468,0.187703568,0.195427534,0.160449309,0.0,0.0,0.035862304
