,R2,RMSE,MAE,N features,CVS
Lasso,"0.879 [0.834, 0.913]","11.205 [9.562, 12.772]","8.151 [6.938, 9.593]","7.000 [5.000, 13.000]","0.400 [0.286, 0.500]"
Lasso 1SE,"0.879 [0.833, 0.919]","11.205 [9.374, 12.748]","8.151 [6.937, 9.386]","7.000 [5.000, 13.000]","0.400 [0.286, 0.500]"
ElasticNet,"0.886 [0.841, 0.919]","10.848 [9.302, 12.356]","7.963 [6.809, 9.082]","81.500 [56.000, 93.000]","0.486 [0.409, 0.569]"
