,ROC AUC,Average Precision,N features,CVS
STABL,"0.410 [0.146, 0.670]","0.460 [0.272, 0.770]","4.000 [2.000, 9.000]","0.300 [0.000, 0.500]"
SS 03,"0.500 [0.230, 0.768] (p=0.271)","0.495 [0.279, 0.820] (p=0.321)","10.000 [9.000, 10.000] (p=2.141e-35)","0.900 [0.900, 1.000] (p=0.000e+00)"
SS 05,"0.330 [0.088, 0.626] (p=0.264)","0.556 [0.270, 0.795] (p=0.181)","7.000 [6.000, 7.000] (p=2.330e-09)","0.857 [0.714, 1.000] (p=0.000e+00)"
SS 08,"0.500 [0.500, 0.500] (p=0.318)","0.500 [0.300, 0.700] (p=0.348)","0.000 [0.000, 0.000] (p=1.093e-61)","0.000 [0.000, 0.000] (p=0.000e+00)"
Lasso,"0.450 [0.198, 0.707] (p=0.409)","0.555 [0.306, 0.816] (p=0.196)","8.000 [1.000, 9.000] (p=1.795e-01)","0.333 [0.111, 0.900] (p=2.204e-286)"
Lasso 1SE,"0.460 [0.208, 0.729] (p=0.387)","0.560 [0.308, 0.842] (p=0.207)","8.000 [1.000, 9.000] (p=3.195e-01)","0.125 [0.111, 0.900] (p=2.299e-164)"
ElasticNet,"0.470 [0.200, 0.758] (p=0.357)","0.597 [0.345, 0.846] (p=0.104)","10.000 [2.750, 10.000] (p=9.152e-13)","0.900 [0.200, 1.000] (p=0.000e+00)"
