,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.440 [0.182, 0.722]","0.529 [0.323, 0.802]","5.000 [0.000, 5.000]","0.000 [0.000, 1.000]",6.675e-01
SS 03,"0.510 [0.240, 0.808] (p=0.277)","0.573 [0.327, 0.900] (p=0.206)","5.000 [5.000, 5.000] (p=6.404e-22)","1.000 [1.000, 1.000] (p=0.000e+00)",9.698e-01
SS 05,"0.510 [0.232, 0.769] (p=0.293)","0.573 [0.338, 0.881] (p=0.214)","5.000 [5.000, 5.000] (p=6.404e-22)","1.000 [1.000, 1.000] (p=0.000e+00)",9.698e-01
SS 08,"0.470 [0.202, 0.760] (p=0.426)","0.538 [0.318, 0.851] (p=0.482)","3.000 [2.000, 3.250] (p=9.127e-04)","0.667 [0.500, 0.750] (p=0.000e+00)",8.501e-01
Lasso,"0.360 [0.208, 0.500] (p=0.266)","0.476 [0.250, 0.685] (p=0.207)","0.000 [0.000, 0.000] (p=1.245e-19)","0.000 [0.000, 0.000] (p=0.000e+00)",1.007e-01
Lasso 1SE,"0.360 [0.214, 0.500] (p=0.243)","0.476 [0.250, 0.700] (p=0.217)","0.000 [0.000, 0.000] (p=1.245e-19)","0.000 [0.000, 0.000] (p=0.000e+00)",1.007e-01
ElasticNet,"0.500 [0.240, 0.780] (p=0.369)","0.505 [0.322, 0.859] (p=0.424)","0.000 [0.000, 0.000] (p=3.920e-22)","0.000 [0.000, 0.000] (p=0.000e+00)",1.000e+00
