,Spearman corr,pvalue
STAT6,-0.29629749879505873,0.20462721102454642
Frequency,-0.2948173896382008,0.20700547241122197
STAT5,-0.2427907914667536,0.3023454554274212
CREB,-0.1560797945143416,0.5111092083782216
S6,0.1387375951238592,0.5596674186533706
IkB,0.1387375951238592,0.5596674186533706
NFkB,-0.1387375951238592,0.5596674186533706
ERK,0.05315774339537505,0.8238638006409267
MAPKAPK2,0.052026598171447204,0.827557337051562
p38,-0.052026598171447204,0.827557337051562
STAT3,0.052026598171447204,0.827557337051562
STAT1,,
