,Fold selected features,Fold nb of features
Fold 57,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 58,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 59,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 60,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 61,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 62,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 63,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 64,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 65,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 66,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 67,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 68,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 69,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 70,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 71,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 72,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 73,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 74,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 75,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 76,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 77,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 78,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 79,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 80,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 81,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 82,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 83,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 84,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 85,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 86,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 87,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 88,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 89,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 90,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 91,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 92,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 93,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 94,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 95,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 96,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 97,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 98,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 99,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 100,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 101,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 102,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 103,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 104,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 105,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 106,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 107,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 108,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 109,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
