,ROC AUC,Average Precision,N features,CVS
STABL,"0.375 [0.135, 0.640]","0.477 [0.279, 0.755]","0.500 [0.000, 3.000]","0.000 [0.000, 0.000]"
SS 03,"0.350 [0.119, 0.616] (p=0.426)","0.432 [0.263, 0.740] (p=0.17)","6.000 [6.000, 6.000] (p=1.056e-27)","1.000 [0.833, 1.000] (p=0.000e+00)"
SS 05,"0.590 [0.312, 0.859] (p=0.033)","0.595 [0.367, 0.901] (p=0.056)","4.000 [4.000, 5.000] (p=1.501e-26)","0.800 [0.800, 1.000] (p=0.000e+00)"
SS 08,"0.590 [0.319, 0.845] (p=0.033)","0.592 [0.353, 0.906] (p=0.06)","1.000 [1.000, 1.250] (p=3.743e-06)","1.000 [0.500, 1.000] (p=0.000e+00)"
Lasso,"0.150 [0.033, 0.330] (p=0.011)","0.370 [0.218, 0.612] (p=0.004)","1.500 [0.000, 4.000] (p=2.710e-01)","0.000 [0.000, 0.333] (p=8.143e-79)"
Lasso 1SE,"0.150 [0.031, 0.300] (p=0.013)","0.370 [0.214, 0.620] (p=0.012)","1.500 [0.000, 4.000] (p=3.129e-01)","0.000 [0.000, 0.333] (p=6.298e-80)"
ElasticNet,"0.140 [0.000, 0.343] (p=0.074)","0.359 [0.217, 0.603] (p=0.021)","1.500 [0.000, 5.000] (p=1.686e-01)","0.000 [0.000, 0.286] (p=2.231e-91)"
