,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.375 [0.131, 0.615]","0.477 [0.284, 0.748]","0.500 [0.000, 3.000]","0.000 [0.000, 0.000]",3.324e-01
SS 03,"0.350 [0.111, 0.616] (p=0.428)","0.432 [0.255, 0.747] (p=0.139)","6.000 [6.000, 6.000] (p=1.056e-27)","1.000 [0.833, 1.000] (p=0.000e+00)",2.730e-01
SS 05,"0.590 [0.309, 0.838] (p=0.044)","0.595 [0.359, 0.903] (p=0.057)","4.000 [4.000, 5.000] (p=1.501e-26)","0.800 [0.800, 1.000] (p=0.000e+00)",5.205e-01
SS 08,"0.590 [0.303, 0.865] (p=0.027)","0.592 [0.335, 0.908] (p=0.067)","1.000 [1.000, 1.250] (p=3.743e-06)","1.000 [0.500, 1.000] (p=0.000e+00)",5.205e-01
Lasso,"0.150 [0.030, 0.323] (p=0.016)","0.370 [0.210, 0.610] (p=0.005)","1.500 [0.000, 4.000] (p=2.710e-01)","0.000 [0.000, 0.333] (p=8.143e-79)",6.253e-03
Lasso 1SE,"0.150 [0.033, 0.305] (p=0.02)","0.370 [0.209, 0.615] (p=0.01)","1.500 [0.000, 4.000] (p=3.129e-01)","0.000 [0.000, 0.333] (p=6.298e-80)",6.253e-03
ElasticNet,"0.220 [0.042, 0.462] (p=0.127)","0.386 [0.237, 0.642] (p=0.074)","1.500 [0.000, 5.000] (p=1.686e-01)","0.000 [0.000, 0.286] (p=2.231e-91)",3.764e-02
