,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.590 [0.321, 0.850]","0.587 [0.342, 0.881]","1.000 [1.000, 1.000]","1.000 [0.500, 1.000]",5.205e-01
SS 03,"0.480 [0.220, 0.761] (p=0.178)","0.510 [0.313, 0.837] (p=0.245)","6.000 [5.000, 6.000] (p=1.008e-72)","1.000 [0.800, 1.000] (p=6.712e-54)",9.097e-01
SS 05,"0.580 [0.312, 0.867] (p=0.472)","0.570 [0.352, 0.914] (p=0.416)","4.000 [3.750, 4.000] (p=4.554e-61)","1.000 [0.750, 1.000] (p=4.963e-01)",5.708e-01
SS 08,"0.580 [0.312, 0.869] (p=0.504)","0.561 [0.346, 0.887] (p=0.382)","1.000 [1.000, 1.000] (p=6.763e-01)","1.000 [0.500, 1.000] (p=6.185e-26)",5.708e-01
Lasso,"0.500 [0.229, 0.788] (p=0.229)","0.492 [0.293, 0.815] (p=0.121)","2.500 [2.000, 4.000] (p=4.810e-52)","0.667 [0.400, 1.000] (p=0.000e+00)",1.000e+00
Lasso 1SE,"0.500 [0.231, 0.780] (p=0.238)","0.492 [0.302, 0.793] (p=0.127)","2.500 [2.000, 4.000] (p=1.670e-38)","0.500 [0.400, 0.800] (p=0.000e+00)",1.000e+00
ElasticNet,"0.500 [0.219, 0.788] (p=0.22)","0.492 [0.294, 0.800] (p=0.119)","3.000 [2.000, 5.000] (p=1.471e-49)","0.500 [0.333, 1.000] (p=0.000e+00)",1.000e+00
