"","x"
"1","  1"
"2","  1"
"3","  1"
"4","  3"
"5","  3"
"6","  3"
"7","  5"
"8","  5"
"9","  5"
"10","  6"
"11","  6"
"12","  6"
"13","  7"
"14","  7"
"15","  8"
"16","  8"
"17","  8"
"18"," 12"
"19"," 12"
"20"," 12"
"21"," 14"
"22"," 14"
"23"," 14"
"24"," 16"
"25"," 16"
"26"," 16"
"27"," 17"
"28"," 17"
"29"," 18"
"30"," 18"
"31"," 18"
"32"," 19"
"33"," 19"
"34"," 19"
"35"," 21"
"36"," 21"
"37"," 21"
"38"," 22"
"39"," 22"
"40"," 22"
"41"," 24"
"42"," 24"
"43"," 24"
"44"," 25"
"45"," 25"
"46"," 25"
"47"," 26"
"48"," 26"
"49"," 26"
"50"," 27"
"51"," 27"
"52"," 27"
"53"," 28"
"54"," 28"
"55"," 28"
"56"," 32"
"57"," 32"
"58"," 32"
"59"," 33"
"60"," 33"
"61"," 33"
"62"," 34"
"63"," 34"
"64"," 34"
"65"," 35"
"66"," 35"
"67"," 35"
"68"," 36"
"69"," 36"
"70"," 36"
"71"," 40"
"72"," 40"
"73"," 40"
"74"," 41"
"75"," 41"
"76"," 41"
"77"," 42"
"78"," 42"
"79"," 42"
"80"," 43"
"81"," 43"
"82"," 43"
"83"," 44"
"84"," 44"
"85"," 44"
"86"," 45"
"87"," 45"
"88"," 45"
"89"," 50"
"90"," 50"
"91"," 50"
"92"," 51"
"93"," 51"
"94"," 51"
"95"," 52"
"96"," 52"
"97"," 52"
"98"," 54"
"99"," 55"
"100"," 55"
"101"," 55"
"102"," 56"
"103"," 56"
"104"," 56"
"105"," 57"
"106"," 57"
"107"," 57"
"108"," 63"
"109"," 63"
"110"," 63"
"111"," 65"
"112"," 65"
"113"," 67"
"114"," 67"
"115"," 68"
"116"," 68"
"117"," 68"
"118"," 72"
"119"," 72"
"120"," 72"
"121"," 73"
"122"," 74"
"123"," 74"
"124"," 74"
"125"," 75"
"126"," 75"
"127"," 75"
"128"," 83"
"129"," 83"
"130"," 83"
"131"," 86"
"132"," 86"
"133"," 87"
"134"," 87"
"135"," 87"
"136"," 91"
"137"," 91"
"138"," 91"
"139"," 93"
"140"," 93"
"141"," 93"
"142"," 98"
"143"," 98"
"144"," 98"
"145"," 99"
"146"," 99"
"147"," 99"
"148","100"
"149","100"
"150","100"
