"","x"
"1",26.4
"2",33.6
"3",35.6
"4",25.3
"5",30.7
"6",33.6
"7",25.3
"8",29.3
"9",32.3
"10",25
"11",30.6
"12",34.6
"13",28.3
"14",36.1
"15",28.1
"16",32.1
"17",33.1
"18",25.4
"19",29.4
"20",34.3
"21",26.7
"22",30.9
"23",35.3
"24",32.9
"25",34.4
"26",36.7
"27",31.7
"28",33.6
"29",27.7
"30",31.7
"31",35.7
"32",27.9
"33",31.9
"34",36.4
"35",27.4
"36",34.3
"37",36.4
"38",26.3
"39",31.3
"40",34.9
"41",27.1
"42",29.1
"43",34.1
"44",26.9
"45",30.9
"46",33
"47",31.4
"48",34.3
"49",37.4
"50",24.4
"51",28.3
"52",32.1
"53",31.4
"54",34.1
"55",36.1
"56",24.9
"57",27.9
"58",37.3
"59",31.7
"60",33.7
"61",36.7
"62",26.9
"63",35.4
"64",37.3
"65",27.6
"66",31.6
"67",37.7
"68",28.1
"69",30.7
"70",37
"71",25.6
"72",29.9
"73",36.1
"74",25.6
"75",30.1
"76",37.6
"77",24.1
"78",27.4
"79",37
"80",27.7
"81",38.1
"82",39.1
"83",30
"84",36.3
"85",38.3
"86",27.4
"87",33.1
"88",37.1
"89",32
"90",36.1
"91",38
"92",27.7
"93",38.6
"94",39.6
"95",24.4
"96",36.3
"97",38.4
"98",32.3
"99",27
"100",35
"101",38
"102",25.9
"103",37.1
"104",38
"105",27.1
"106",36.6
"107",38.9
"108",30.6
"109",38.3
"110",40.3
"111",27.7
"112",38.3
"113",30.6
"114",37
"115",27.3
"116",37.1
"117",39.1
"118",24.9
"119",37.4
"120",39.4
"121",27.4
"122",30.6
"123",37.6
"124",38.6
"125",31.9
"126",36.9
"127",38.4
"128",28.1
"129",36.9
"130",38.3
"131",30
"132",36.6
"133",30.1
"134",37.1
"135",38.1
"136",30.1
"137",37.3
"138",38.3
"139",27.7
"140",38.3
"141",39.3
"142",26.7
"143",36.6
"144",38.7
"145",24.6
"146",38.7
"147",39.7
"148",29.4
"149",37.4
"150",39.4
