cytof,linear_fit,quadratic_fit,pval,a,b,class,pattern
CD69negCD56loCD16negNK_STAT1_IL246,684.2707943446806,-682.3474590060933,0.18615616397591753,-6.523673629171105e-7,1.723335918573949e-5,quadratic,deceleration/increase
CD69negCD56loCD16negNK_STAT3_IL246,76.50864862936402,-76.99118714324368,9.635729288170924e-5,-2.803686685209453e-5,-8.53767892775439e-4,quadratic,deceleration/increase
CD69negCD56loCD16negNK_S6_IL246,726.5173918667614,-724.639760701264,0.494498610526242,-7.158775358009474e-7,-3.452662338396826e-5,quadratic,deceleration/increase
CD69negCD56loCD16negNK_IkB_IL246,745.8883505325609,-744.5922801804678,0.21598020485647218,1.6080696741081642e-6,2.2302790725159182e-4,quadratic,acceleration/increase
CD69negCD56loCD16negNK_MAPKAPK2_IL246,613.9380901103202,-613.2892716459468,0.04949460646059748,-3.4549891605787853e-6,-1.8938903359305524e-4,quadratic,deceleration/increase
CD69negCD56loCD16negNK_NFkB_IL246,535.9628277612022,-534.1761188498509,0.043648534637566384,-1.7835277228268447e-6,2.883101837817741e-5,quadratic,deceleration/increase
CD69negCD56loCD16negNK_ERK_IL246,526.864019328357,-530.9373736906109,0.037353163986466806,-9.715224771561953e-6,-0.0010517009559031444,quadratic,acceleration/decrease
CD69negCD56loCD16negNK_STAT6_IL246,87.96594326272226,80.8164918430058,0.0062459359523865604,-9.210556679768215e-5,-0.008294304978598519,quadratic,deceleration/increase
CD69posCD56loCD16negNK_CREB_IL246,432.2223485340886,-432.4198734205199,0.12035956876966401,-8.06317011938334e-6,-5.955083473483106e-4,quadratic,deceleration/increase
CD69posCD56loCD16negNK_STAT5_IL246,60.724707743850985,59.82329036500954,7.370577698936155e-4,-4.7857491333920475e-5,-0.002186618903587956,quadratic,deceleration/increase
CD69posCD56loCD16negNK_p38_IL246,1038.4471583616373,-1036.7142608049783,0.3539813244777106,-3.7382894602496296e-7,-1.958548071943447e-5,quadratic,deceleration/increase
CD69posCD56loCD16negNK_STAT1_IL246,645.6042070906371,-643.6807092501655,0.18518242065531745,-7.413225278626957e-7,1.9891164918192004e-5,quadratic,deceleration/increase
CD69posCD56loCD16negNK_STAT3_IL246,42.80972196672412,-43.19870646952106,0.0022581530107962005,-3.077796308183313e-5,-0.0013860494305238478,quadratic,deceleration/increase
CD69posCD56loCD16negNK_S6_IL246,418.5461114430062,-417.33279684397667,0.26271569149691404,5.061244930533135e-6,6.735449369010353e-4,quadratic,acceleration/increase
CD69posCD56loCD16negNK_IkB_IL246,408.41451260164837,-406.5744392409095,0.637309947829238,2.3628580448297473e-06,1.6219763908143157e-4,quadratic,deceleration/decrease
CD69posCD56loCD16negNK_MAPKAPK2_IL246,340.56212219567146,-339.54367535543236,0.15559003612075534,-7.329362436385939e-6,-4.5276077088191274e-4,quadratic,deceleration/increase
CD69posCD56loCD16negNK_NFkB_IL246,292.7041579303914,-290.78868688355436,0.7616879519448216,-2.5266345652128433e-6,-3.2135749151704997e-4,quadratic,acceleration/decrease
CD69posCD56loCD16negNK_ERK_IL246,464.94556559024517,-464.0571940228307,0.7211208676525834,-5.1514749147707026e-6,-4.676333952111908e-4,quadratic,deceleration/increase
CD69posCD56loCD16negNK_STAT6_IL246,95.59457753905373,90.22391469930392,0.004695141493350638,-8.504737579024377e-5,-0.006905967106515004,quadratic,deceleration/increase
TCRgdposT_CREB_IL246,517.6484600674759,-521.8977273305433,0.045791536088839006,-1.0159387404966392e-5,-0.0010354736088299752,quadratic,acceleration/decrease
