"","x"
"1","G1"
"2","G2"
"3","G3"
"4","G1"
"5","G2"
"6","G3"
"7","G1"
"8","G2"
"9","G3"
"10","G1"
"11","G2"
"12","G3"
"13","G1"
"14","G2"
"15","G1"
"16","G2"
"17","G3"
"18","G1"
"19","G2"
"20","G3"
"21","G1"
"22","G2"
"23","G3"
"24","G1"
"25","G2"
"26","G3"
"27","G1"
"28","G2"
"29","G1"
"30","G2"
"31","G3"
"32","G1"
"33","G2"
"34","G3"
"35","G1"
"36","G2"
"37","G3"
"38","G1"
"39","G2"
"40","G3"
"41","G1"
"42","G2"
"43","G3"
"44","G1"
"45","G2"
"46","G3"
"47","G1"
"48","G2"
"49","G3"
"50","G1"
"51","G2"
"52","G3"
"53","G1"
"54","G2"
"55","G3"
"56","G1"
"57","G2"
"58","G3"
"59","G1"
"60","G2"
"61","G3"
"62","G1"
"63","G2"
"64","G3"
"65","G1"
"66","G2"
"67","G3"
"68","G1"
"69","G2"
"70","G3"
"71","G1"
"72","G2"
"73","G3"
"74","G1"
"75","G2"
"76","G3"
"77","G1"
"78","G2"
"79","G3"
"80","G1"
"81","G2"
"82","G3"
"83","G1"
"84","G2"
"85","G3"
"86","G1"
"87","G2"
"88","G3"
"89","G1"
"90","G2"
"91","G3"
"92","G1"
"93","G2"
"94","G3"
"95","G1"
"96","G2"
"97","G3"
"98","G1"
"99","G1"
"100","G2"
"101","G3"
"102","G1"
"103","G2"
"104","G3"
"105","G1"
"106","G2"
"107","G3"
"108","G1"
"109","G2"
"110","G3"
"111","G1"
"112","G2"
"113","G1"
"114","G2"
"115","G1"
"116","G2"
"117","G3"
"118","G1"
"119","G2"
"120","G3"
"121","G1"
"122","G1"
"123","G2"
"124","G3"
"125","G1"
"126","G2"
"127","G3"
"128","G1"
"129","G2"
"130","G3"
"131","G1"
"132","G2"
"133","G1"
"134","G2"
"135","G3"
"136","G1"
"137","G2"
"138","G3"
"139","G1"
"140","G2"
"141","G3"
"142","G1"
"143","G2"
"144","G3"
"145","G1"
"146","G2"
"147","G3"
"148","G1"
"149","G2"
"150","G3"
