,ROC AUC,Average Precision,N features,CVS
SS 03,"0.500 [0.500, 0.500] (p=0.142)","0.500 [0.300, 0.700] (p=0.009)","0.000 [0.000, 0.000] (p=6.173e-05)","0.000 [0.000, 0.000] (p=7.586e-12)"
L-KF,"0.700 [0.424, 0.920]","0.798 [0.573, 0.953]","6.000 [2.750, 8.500]","0.000 [0.000, 0.143]"
L-RP,"0.700 [0.445, 0.917] (p=0.53)","0.775 [0.535, 0.940] (p=0.396)","3.000 [0.000, 5.750]","0.000 [0.000, 0.000]"
SS 05,"0.500 [0.500, 0.500] (p=0.13)","0.500 [0.300, 0.700] (p=0.012)","0.000 [0.000, 0.000] (p=2.505e-05)","0.000 [0.000, 0.000] (p=7.586e-12)"
SS 08,"0.500 [0.500, 0.500] (p=0.156)","0.500 [0.300, 0.701] (p=0.011)","0.000 [0.000, 0.000] (p=2.505e-05)","0.000 [0.000, 0.000] (p=7.586e-12)"
Lasso,"0.860 [0.655, 1.000] (p=0.095)","0.911 [0.731, 1.000] (p=0.065)","46.500 [31.500, 67.000] (p=1.286e-07)","0.182 [0.121, 0.240] (p=5.808e-45)"
Lasso 1SE,"0.860 [0.646, 1.000] (p=0.085)","0.908 [0.722, 1.000] (p=0.057)","50.500 [32.750, 64.250] (p=2.319e-07)","0.190 [0.109, 0.257] (p=1.771e-44)"
ElasticNet,"0.910 [0.747, 1.000] (p=0.082)","0.936 [0.789, 1.000] (p=0.032)","55.500 [29.500, 99.250] (p=1.108e-07)","0.171 [0.093, 0.289] (p=2.224e-44)"
