,Associated weight
CCR2pcMC_predictions,8.97028652703961
CD4Tnaive_predictions,8.280306972640167
CD8Tem_predictions,8.052506578966025
NKT_predictions,7.83710510320563
CD8Trm_predictions,7.3345966156768085
Bcells_predictions,7.19144607130235
CD56brightCD16nNKcells_predictions,6.29580925457998
CD56dimCD16pNKcells_predictions,6.232749511175112
CD62LpImmatureNeutrophils_predictions,5.798600804685541
mDC_predictions,3.8335118862908457
pDC_predictions,3.785640531846094
Tregmem_predictions,3.179398938596653
Th1naive_predictions,2.6100361099897396
gdTcells_predictions,2.594270988487718
Th1mem_predictions,2.445864311164294
CD62LnAgedNeutrophils_predictions,1.6952133618979426
CCR2nncMC_predictions,1.6489930879987014
CD4Tem_predictions,1.6400365676355755
CD8Tcm_predictions,1.4354364314127754
intMC_predictions,1.4126064602297994
CD61pCD41pPLT_predictions,0.859211008844526
CD41hiCD61hiPLT_predictions,0.7447855611602983
CD8Tnaive_predictions,0.6651551998651617
Tregnaive_predictions,0.5989330698573614
CD4Tcm_predictions,0.4099201619180981
MDSC_predictions,0.3998244799792894
CD4Trm_predictions,0.025122844230054397
