,ROC AUC,Average Precision,N features,CVS
STABL,"0.630 [0.354, 0.865]","0.706 [0.427, 0.920]","9.500 [4.750, 16.000]","0.375 [0.222, 0.500]"
SS 03,"0.530 [0.271, 0.810] (p=0.255)","0.525 [0.312, 0.844] (p=0.103)","2.000 [2.000, 3.000] (p=1.771e-06)","0.400 [0.250, 0.667] (p=1.108e-01)"
SS 05,"0.500 [0.500, 0.500] (p=0.223)","0.500 [0.300, 0.700] (p=0.046)","0.000 [0.000, 0.000] (p=2.946e-08)","0.000 [0.000, 0.000] (p=5.012e-62)"
SS 08,"0.500 [0.500, 0.500] (p=0.212)","0.500 [0.300, 0.700] (p=0.051)","0.000 [0.000, 0.000] (p=2.946e-08)","0.000 [0.000, 0.000] (p=5.012e-62)"
Lasso,"0.500 [0.200, 0.800] (p=0.154)","0.697 [0.435, 0.905] (p=0.454)","7.000 [4.000, 10.000] (p=1.527e-01)","0.400 [0.286, 0.562] (p=4.614e-02)"
Lasso 1SE,"0.510 [0.239, 0.792] (p=0.185)","0.673 [0.399, 0.880] (p=0.404)","6.500 [2.750, 10.000] (p=4.208e-02)","0.258 [0.125, 0.415] (p=4.088e-05)"
ElasticNet,"0.560 [0.260, 0.857] (p=0.29)","0.738 [0.491, 0.920] (p=0.388)","10.500 [9.750, 14.250] (p=4.004e-01)","0.420 [0.323, 0.561] (p=4.606e-04)"
