,NFkB,ERK,STAT6,MAPKAPK2,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,Frequency
1326,0.587972962,0.159940545,0.130143934,0.314824692,0.891650445,0.139770468,0.166370468,0.0,0.457183612,0.61100349,0.788275367,0.019374288
1330,0.347930277,0.036902389,0.05353697,0.149622606,0.783891197,0.213975459,0.050178145,0.0,0.502437596,0.639482908,0.731164627,0.141199399
1331,0.36429295,0.049290434,0.050819716,0.146497461,0.822721193,0.222000767,0.059027036,0.0,0.943614943,0.601918429,0.803544362,0.331636336
1337,0.429171183,0.062769337,0.05372594,0.136293699,0.544592624,0.189703191,0.0,0.0,0.585615452,0.604599493,0.76199916,0.499135447
1357,0.446641371,0.208966742,0.044281413,0.509066496,1.030081297,0.172831737,0.377862355,0.0,0.510941948,0.761904055,0.419841743,0.056067326
1377,0.516861151,0.17773739,0.070490905,0.492927379,0.883270338,0.274624309,0.505296024,0.0,0.880836635,0.690220879,0.751589395,0.252522459
1381,0.426518831,0.130429528,0.070666349,0.365787028,0.79601105,0.271595979,0.177492004,0.0,0.417506167,0.633729842,0.701005466,0.204249476
1400,0.468103892,0.132456728,0.0,0.280978115,1.319546266,0.172467076,0.22801475,0.0,0.51881844,0.677455342,0.799227043,0.157958008
1414,0.506993343,0.143840296,0.061160878,0.350618355,0.670060651,0.244002823,0.160617076,0.0,0.756207026,0.802481073,0.901013539,0.043700749
1418,0.605280474,0.142116938,0.202940638,1.304594533,0.653716096,0.348275457,1.632924843,0.01672311,0.293116677,0.552503898,0.583948995,0.042768986
1427,0.296013133,0.038754888,0.025430379,0.12461306,0.497889553,0.128245194,0.213868109,0.0,0.678059817,0.98878625,0.566134625,0.165112191
1428,0.327909466,0.050083677,0.039891712,0.159954705,0.431477683,0.134475199,0.033107768,0.0,0.447553861,0.95452011,0.662276369,0.050018215
1431,0.611781032,0.236297169,0.086272887,0.33646632,0.739454166,0.190330835,0.125181771,0.0,0.24767347,1.00205436,0.813516582,0.016164822
1464,0.422843108,0.063890142,0.057580369,0.183766493,0.371628078,0.193956703,0.071117834,0.0,0.506343298,1.091346132,0.892219629,0.311408007
1469,0.443453907,0.086471956,0.08436536,0.185459679,0.898970605,0.18675569,0.070124976,0.0,0.323608225,1.029857102,0.94440055,0.045650102
1472,0.376358072,0.015513047,0.0,0.13984558,0.407288817,0.183996577,0.006672517,0.0,0.979517562,1.505977504,0.821636644,0.204822763
1473,0.517464237,0.091309886,0.06764258,0.358497221,1.171113536,0.313082677,0.255989397,0.0,0.906281228,1.800225501,0.857293733,0.022380803
1475,0.387260243,0.0,0.042321299,0.157723696,0.404810497,0.148571577,0.058321518,0.0,0.321907703,1.60675098,0.720814928,0.030822883
1480,0.301434267,6.1e-05,0.000743313,0.114278296,0.594584231,0.141630101,0.057532384,0.0,0.660004142,1.597138371,0.526384084,0.088982008
1488,0.588261639,0.061440233,0.07457305,0.189525577,0.840104549,0.323538328,0.077121942,0.0,0.868076886,1.714437795,0.730903102,0.233978647
