,Associated weight
CD56brightCD16nNKcells_predictions,9.920708909056797
gdTcells_predictions,9.87862874121782
CD4Tem_predictions,9.441464360401561
CD61pCD41pPLT_predictions,7.63632827518478
CD62LpImmatureNeutrophils_predictions,7.599915007306794
CCR2pcMC_predictions,7.52587693876009
CD56dimCD16pNKcells_predictions,7.240268203914262
CD4Tcm_predictions,6.621287346335992
mDC_predictions,6.248181234675395
CD8Tcm_predictions,5.716448068644081
CD8Tem_predictions,5.463378609398565
CD8Trm_predictions,4.806208501778746
CD62LnAgedNeutrophils_predictions,4.517199304166971
CD41hiCD61hiPLT_predictions,3.405964913908287
intMC_predictions,3.3151773059441414
Tregnaive_predictions,2.905797694659112
Th1mem_predictions,2.8920658927293816
CD4Tnaive_predictions,2.6212113662437018
CD4Trm_predictions,2.4110167967733656
CCR2nncMC_predictions,2.1018780828850936
pDC_predictions,2.0081885722634873
CD8Tnaive_predictions,1.8662777631920957
Tregmem_predictions,1.7830595531376314
Bcells_predictions,1.3059278686735787
Th1naive_predictions,1.217105787595123
NKT_predictions,1.126719752062929
MDSC_predictions,0.26545645408915575
