,ROC AUC,Average Precision,N features,CVS
STABL,"0.752 [0.663, 0.836]","0.709 [0.589, 0.841]","12.000 [9.000, 16.000]","0.200 [0.133, 0.269]"
SS 03,"0.786 [0.693, 0.867] (p=0.175)","0.749 [0.626, 0.870] (p=0.261)","113.500 [111.000, 117.000] (p=2.257e-34)","0.577 [0.549, 0.604] (p=0.000e+00)"
SS 05,"0.792 [0.708, 0.877] (p=0.154)","0.749 [0.632, 0.873] (p=0.29)","44.000 [41.000, 46.000] (p=2.253e-34)","0.517 [0.481, 0.556] (p=0.000e+00)"
SS 08,"0.753 [0.657, 0.849] (p=0.469)","0.731 [0.618, 0.847] (p=0.33)","6.000 [5.000, 7.000] (p=5.295e-20)","0.286 [0.200, 0.375] (p=0.000e+00)"
EF Lasso,"0.805 [0.718, 0.882] (p=0.066)","0.754 [0.646, 0.873] (p=0.158)","116.500 [49.500, 131.250] (p=8.732e-33)","0.278 [0.210, 0.343] (p=1.988e-277)"
