,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.500 [0.500, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.000e+00
SS 03,"0.190 [0.020, 0.424] (p=0.023)","0.372 [0.209, 0.628] (p=0.037)","8.000 [7.000, 8.000] (p=1.657e-78)","0.875 [0.750, 1.000] (p=0.000e+00)",2.113e-02
SS 05,"0.240 [0.060, 0.490] (p=0.062)","0.391 [0.229, 0.659] (p=0.087)","5.000 [5.000, 5.000] (p=5.050e-85)","1.000 [1.000, 1.000] (p=0.000e+00)",5.390e-02
SS 08,"0.230 [0.051, 0.505] (p=0.07)","0.389 [0.220, 0.654] (p=0.081)","2.000 [1.000, 2.000] (p=1.167e-78)","0.500 [0.333, 1.000] (p=0.000e+00)",4.515e-02
Lasso,"0.400 [0.266, 0.500] (p=0.276)","0.453 [0.248, 0.671] (p=0.254)","0.000 [0.000, 0.000] (p=4.651e-06)","0.000 [0.000, 0.000] (p=2.017e-43)",1.681e-01
Lasso 1SE,"0.400 [0.269, 0.500] (p=0.244)","0.453 [0.248, 0.685] (p=0.256)","0.000 [0.000, 0.000] (p=4.651e-06)","0.000 [0.000, 0.000] (p=2.017e-43)",1.681e-01
ElasticNet,"0.490 [0.214, 0.771] (p=0.474)","0.570 [0.322, 0.850] (p=0.256)","0.000 [0.000, 0.000] (p=4.651e-06)","0.000 [0.000, 0.000] (p=2.017e-43)",9.698e-01
