,R2,RMSE,MAE,N features,CVS
STABL,"0.044 [-0.036, 0.117]","31.452 [28.910, 33.707]","27.601 [25.177, 30.114]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.260 [-0.685, 0.825]","27.659 [13.314, 42.020]","13.144 [10.067, 17.780]","168.500 [165.000, 175.750] (p=8.194e-18)","0.797 [0.718, 0.845] (p=0.000e+00)"
SS 05,"-0.274 [-1.866, 0.759]","36.294 [15.184, 55.871]","15.466 [10.846, 21.644]","140.000 [137.000, 147.750] (p=8.218e-18)","0.794 [0.710, 0.842] (p=0.000e+00)"
SS 08,"0.485 [-0.085, 0.843]","23.088 [12.641, 33.397]","11.731 [9.044, 14.893]","86.500 [84.000, 91.000] (p=8.117e-18)","0.712 [0.586, 0.770] (p=0.000e+00)"
Lasso,"0.851 [0.794, 0.901]","12.433 [10.118, 14.751]","8.610 [7.230, 10.041]","9.500 [8.000, 15.000] (p=2.674e-11)","0.333 [0.263, 0.455] (p=0.000e+00)"
Lasso 1SE,"0.851 [0.788, 0.895]","12.433 [10.304, 14.768]","8.610 [7.297, 10.038]","9.500 [8.000, 15.000] (p=2.674e-11)","0.333 [0.263, 0.455] (p=0.000e+00)"
ElasticNet,"0.397 [-0.157, 0.807]","24.983 [13.768, 37.447]","13.757 [10.906, 17.466]","119.000 [114.000, 127.750] (p=8.342e-18)","0.560 [0.503, 0.622] (p=0.000e+00)"
