,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.590 [0.303, 0.859]","0.610 [0.364, 0.910]","1.000 [0.000, 5.000]","0.000 [0.000, 0.400]",5.149e-01
SS 03,"0.440 [0.192, 0.707] (p=0.095)","0.491 [0.290, 0.828] (p=0.093)","5.000 [5.000, 5.000] (p=1.762e-39)","1.000 [1.000, 1.000] (p=0.000e+00)",6.776e-01
SS 05,"0.450 [0.202, 0.729] (p=0.121)","0.494 [0.291, 0.824] (p=0.11)","5.000 [4.750, 5.000] (p=7.538e-32)","1.000 [0.800, 1.000] (p=0.000e+00)",7.337e-01
SS 08,"0.400 [0.141, 0.667] (p=0.14)","0.495 [0.266, 0.787] (p=0.142)","2.000 [2.000, 3.000] (p=2.796e-09)","1.000 [0.667, 1.000] (p=0.000e+00)",4.727e-01
Lasso,"0.390 [0.143, 0.667] (p=0.06)","0.453 [0.276, 0.785] (p=0.047)","4.000 [3.750, 5.000] (p=4.487e-11)","0.800 [0.250, 1.000] (p=0.000e+00)",4.272e-01
Lasso 1SE,"0.390 [0.131, 0.667] (p=0.061)","0.453 [0.257, 0.759] (p=0.042)","4.000 [3.750, 5.000] (p=8.105e-11)","0.800 [0.250, 1.000] (p=0.000e+00)",4.272e-01
ElasticNet,"0.430 [0.172, 0.719] (p=0.117)","0.468 [0.266, 0.766] (p=0.066)","5.000 [4.000, 5.000] (p=6.691e-20)","0.800 [0.600, 1.000] (p=0.000e+00)",6.232e-01
