,ROC AUC,Average Precision,N features,CVS
STABL,"0.350 [0.167, 0.538]","0.454 [0.269, 0.700]","0.000 [0.000, 0.250]","0.000 [0.000, 0.000]"
SS 03,"0.240 [0.052, 0.473] (p=0.235)","0.388 [0.232, 0.662] (p=0.122)","6.000 [6.000, 6.000] (p=4.986e-78)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.240 [0.062, 0.495] (p=0.268)","0.388 [0.217, 0.673] (p=0.091)","6.000 [6.000, 6.000] (p=4.986e-78)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.150 [0.000, 0.375] (p=0.082)","0.362 [0.214, 0.614] (p=0.017)","3.000 [2.750, 3.000] (p=1.590e-62)","0.500 [0.400, 0.750] (p=0.000e+00)"
Lasso,"0.315 [0.162, 0.462] (p=0.456)","0.476 [0.269, 0.685] (p=0.325)","0.000 [0.000, 0.000] (p=2.137e-01)","0.000 [0.000, 0.000] (p=3.119e-01)"
Lasso 1SE,"0.315 [0.172, 0.455] (p=0.485)","0.476 [0.250, 0.685] (p=0.312)","0.000 [0.000, 0.000] (p=2.137e-01)","0.000 [0.000, 0.000] (p=3.119e-01)"
ElasticNet,"0.320 [0.095, 0.613] (p=0.429)","0.422 [0.246, 0.729] (p=0.327)","0.000 [0.000, 0.250] (p=1.000e+00)","0.000 [0.000, 0.000] (p=3.740e-20)"
