,C'=' 0.048,C'=' 0.576,C'=' 1.104,C'=' 1.633,C'=' 2.161,C'=' 2.689,C'=' 3.217,C'=' 3.745,C'=' 4.274,C'=' 4.802
artificial.68,0.0,0.088,0.109,0.12,0.136,0.142,0.151,0.157,0.164,0.17
artificial.69,0.0,0.127,0.162,0.179,0.192,0.2,0.212,0.219,0.226,0.234
artificial.70,0.0,0.038,0.056,0.063,0.065,0.069,0.073,0.077,0.082,0.082
artificial.71,0.0,0.256,0.315,0.345,0.368,0.385,0.406,0.426,0.44,0.455
artificial.72,0.0,0.313,0.364,0.393,0.412,0.428,0.435,0.446,0.456,0.464
artificial.73,0.0,0.088,0.12,0.136,0.151,0.159,0.171,0.179,0.193,0.198
artificial.74,0.0,0.016,0.023,0.026,0.03,0.036,0.04,0.041,0.042,0.046
artificial.75,0.0,0.09,0.112,0.123,0.131,0.145,0.15,0.157,0.163,0.168
artificial.76,0.0,0.004,0.004,0.007,0.007,0.009,0.012,0.015,0.019,0.02
artificial.77,0.0,0.474,0.519,0.548,0.569,0.586,0.601,0.611,0.619,0.627
artificial.78,0.0,0.02,0.038,0.048,0.054,0.06,0.07,0.077,0.078,0.08
artificial.79,0.0,0.13,0.162,0.179,0.193,0.208,0.221,0.228,0.238,0.246
artificial.80,0.0,0.287,0.341,0.368,0.382,0.401,0.417,0.425,0.44,0.457
artificial.81,0.0,0.021,0.029,0.031,0.031,0.033,0.038,0.042,0.042,0.045
artificial.82,0.0,0.053,0.069,0.081,0.092,0.103,0.108,0.116,0.118,0.124
artificial.83,0.0,0.047,0.061,0.071,0.077,0.081,0.086,0.089,0.09,0.092
artificial.84,0.0,0.045,0.054,0.066,0.072,0.076,0.084,0.089,0.095,0.106
artificial.85,0.0,0.007,0.014,0.016,0.02,0.02,0.02,0.023,0.023,0.022
artificial.86,0.0,0.037,0.06,0.077,0.085,0.092,0.103,0.109,0.119,0.124
artificial.87,0.0,0.039,0.06,0.071,0.083,0.09,0.095,0.104,0.111,0.117
artificial.88,0.0,0.202,0.242,0.271,0.291,0.311,0.322,0.334,0.346,0.358
artificial.89,0.0,0.223,0.267,0.286,0.298,0.315,0.334,0.346,0.352,0.363
artificial.90,0.0,0.024,0.029,0.032,0.034,0.039,0.048,0.052,0.058,0.064
artificial.91,0.0,0.015,0.022,0.032,0.034,0.042,0.047,0.05,0.052,0.053
artificial.92,0.0,0.025,0.034,0.042,0.045,0.05,0.054,0.057,0.06,0.06
artificial.93,0.0,0.023,0.035,0.043,0.048,0.052,0.057,0.06,0.062,0.066
artificial.94,0.0,0.052,0.067,0.076,0.08,0.085,0.088,0.093,0.098,0.103
artificial.95,0.0,0.023,0.035,0.04,0.049,0.049,0.051,0.055,0.057,0.06
artificial.96,0.0,0.325,0.379,0.408,0.434,0.459,0.472,0.492,0.508,0.518
artificial.97,0.0,0.014,0.024,0.029,0.037,0.038,0.038,0.041,0.041,0.044
artificial.98,0.0,0.176,0.236,0.268,0.282,0.294,0.308,0.314,0.324,0.333
artificial.99,0.0,0.055,0.078,0.091,0.099,0.101,0.112,0.119,0.127,0.131
artificial.100,0.0,0.016,0.026,0.032,0.033,0.037,0.038,0.039,0.041,0.044
artificial.101,0.0,0.023,0.026,0.027,0.031,0.035,0.037,0.04,0.043,0.047
artificial.102,0.0,0.044,0.059,0.073,0.082,0.087,0.092,0.096,0.101,0.104
artificial.103,0.0,0.061,0.087,0.097,0.104,0.11,0.118,0.13,0.135,0.144
artificial.104,0.0,0.053,0.079,0.094,0.105,0.112,0.118,0.125,0.128,0.138
artificial.105,0.0,0.022,0.03,0.036,0.039,0.042,0.044,0.048,0.05,0.055
artificial.106,0.0,0.092,0.116,0.138,0.149,0.156,0.165,0.174,0.186,0.198
artificial.107,0.0,0.02,0.026,0.026,0.029,0.033,0.04,0.044,0.046,0.049
artificial.108,0.0,0.241,0.272,0.302,0.336,0.354,0.377,0.393,0.405,0.425
artificial.109,0.0,0.095,0.135,0.147,0.157,0.164,0.173,0.179,0.189,0.196
