,ROC AUC,Average Precision,N features,CVS
STABL,"0.320 [0.177, 0.458]","0.453 [0.264, 0.685]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.420 [0.179, 0.688] (p=0.295)","0.466 [0.254, 0.811] (p=0.441)","17.000 [15.750, 18.250] (p=2.294e-08)","0.500 [0.435, 0.583] (p=7.311e-70)"
SS 05,"0.380 [0.120, 0.646] (p=0.372)","0.514 [0.279, 0.813] (p=0.3)","11.000 [10.000, 12.000] (p=2.146e-08)","0.533 [0.438, 0.615] (p=3.992e-70)"
SS 08,"0.410 [0.143, 0.670] (p=0.321)","0.587 [0.304, 0.822] (p=0.139)","4.000 [3.000, 5.000] (p=2.498e-08)","0.400 [0.250, 0.600] (p=4.700e-67)"
Lasso,"0.175 [0.054, 0.323] (p=0.07)","0.387 [0.208, 0.612] (p=0.137)","0.000 [0.000, 5.750] (p=9.832e-02)","0.000 [0.000, 0.000] (p=2.620e-05)"
Lasso 1SE,"0.240 [0.095, 0.401] (p=0.246)","0.408 [0.218, 0.626] (p=0.314)","0.000 [0.000, 4.500] (p=2.624e-01)","0.000 [0.000, 0.000] (p=1.160e-02)"
ElasticNet,"0.280 [0.081, 0.511] (p=0.404)","0.410 [0.238, 0.713] (p=0.264)","0.000 [0.000, 2.000] (p=1.852e-01)","0.000 [0.000, 0.000] (p=9.982e-04)"
