,Mann-Whitney U-test,p-value
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,905.0,0.001457370070454653
CD4 T cells naive_stromal_aggregatedNeighbors.CD8.T.cells,901.5,0.001518648027098261
CD4 T cells naive_stromal_VEGF,905.0,0.0015416420308567709
Tumor proliferating_tumorfront_VEGF,905.5,0.0015624515330812086
B cells_tumorfront_aggregatedNeighbors.CD8.T.cells,877.5,0.0015687032768048718
B cells_stromal_pp38,901.0,0.0017544149873524658
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory,899.5,0.0018782157770054085
Tumor proliferating_intratumor_pCREB,900.0,0.0019178502296061301
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,897.0,0.001969711461935537
B cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,822.0,0.002028284134575659
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,898.0,0.002090544321118255
CD4 T cells regulatory_tumorfront_area,897.5,0.002110892363139739
Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,895.5,0.002120029736827013
B cells_stromal_VEGF,896.0,0.0021327297437820176
Myeloid Monocytes_stromal_pSTAT3,897.0,0.0021762132034721135
CD4 T cells naive_tumorfront_aggregatedNeighbors.B.cells,820.5,0.0022005798665873564
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,895.5,0.0022982635352811137
Tumor proliferating_intratumor_pNFkB,895.0,0.002325998358827569
CD8 T cells_tumorfront_cellfrequency,895.0,0.0023428525449884674
Myeloid DCs_stromal_aggregatedNeighbors.CD8.T.cells,894.0,0.0023482322728183153
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,890.0,0.0023931872251829814
B cells_stromal_pSTAT3,893.0,0.002394242478083857
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,880.0,0.0024838160988614358
CD4 T cells naive_stromal_aggregatedNeighbors.B.cells,885.0,0.0025170893763293016
CD4 T cells memory_tumorfront_VEGF,893.0,0.0025355852435052025
Tumor non-proliferating_tumorfront_pCREB,893.0,0.0025357970908797887
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells,890.0,0.0026204128693581826
Myeloid Monocytes_stromal_CD44,892.0,0.002633533140465397
B cells_stromal_pNFkB,890.0,0.0026848112992766174
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,882.0,0.002732208150033755
Myeloid Monocytes_stromal_VEGF,891.0,0.0027349283472233796
Tumor non-proliferating_intratumor_cellfrequency,370.0,0.002840110589867792
CD4 T cells regulatory_tumorfront_CD44,889.0,0.0029200824632146264
CD4 T cells regulatory_tumorfront_pCREB,889.0,0.0029200824632146264
Tumor proliferating_intratumor_E-Cadherin,888.0,0.0030316019672551584
CD8 T cells_tumorfront_pSTAT3,888.0,0.003052502163763641
CD4 T cells regulatory_stromal_cellfrequency,888.0,0.0030561993858491967
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,885.5,0.003181162048168423
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,807.5,0.0033857154468281145
Myeloid M2 macrophages_stromal_pSTAT3,885.0,0.003422179805564416
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,375.0,0.003422179805564416
B cells_tumorfront_pNFkB,874.5,0.0035183377504298436
Tumor non-proliferating_intratumor_VEGF,884.0,0.0035508839447738385
B cells_stromal_pCREB,882.0,0.0036240472199446823
CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells,882.0,0.0036881539146122744
B cells_stromal_pMAPKAPK2,881.0,0.0037604200136048607
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,876.0,0.003785989683390729
Myeloid DCs_stromal_pSTAT3,882.0,0.003821590067681283
