,ROC AUC,Average Precision,N features,CVS
STABL,"0.405 [0.160, 0.670]","0.541 [0.271, 0.797]","2.000 [0.000, 2.000]","0.000 [0.000, 0.333]"
SS 03,"0.300 [0.081, 0.566] (p=0.18)","0.415 [0.259, 0.727] (p=0.077)","6.000 [5.750, 6.000] (p=2.026e-43)","1.000 [0.833, 1.000] (p=0.000e+00)"
SS 05,"0.300 [0.080, 0.576] (p=0.198)","0.415 [0.235, 0.708] (p=0.07)","6.000 [5.750, 6.000] (p=2.026e-43)","1.000 [0.833, 1.000] (p=0.000e+00)"
SS 08,"0.550 [0.262, 0.813] (p=0.12)","0.605 [0.341, 0.882] (p=0.227)","2.000 [2.000, 3.000] (p=2.830e-11)","0.500 [0.250, 1.000] (p=0.000e+00)"
Lasso,"0.320 [0.091, 0.585] (p=0.247)","0.524 [0.292, 0.765] (p=0.414)","0.500 [0.000, 2.250] (p=1.340e-03)","0.000 [0.000, 0.000] (p=3.034e-202)"
Lasso 1SE,"0.320 [0.094, 0.583] (p=0.264)","0.524 [0.290, 0.785] (p=0.413)","0.500 [0.000, 2.250] (p=1.340e-03)","0.000 [0.000, 0.000] (p=3.034e-202)"
ElasticNet,"0.440 [0.165, 0.747] (p=0.411)","0.468 [0.281, 0.779] (p=0.246)","0.500 [0.000, 2.000] (p=6.940e-05)","0.000 [0.000, 0.000] (p=2.166e-185)"
