,Fold selected features,Fold nb of features
Fold 109,"['STAT3', 'S6', 'Frequency']",3
Fold 110,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 111,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 112,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 113,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 114,"['S6', 'Frequency']",2
Fold 115,"['S6', 'Frequency']",2
Fold 116,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 117,"['STAT3', 'S6', 'Frequency']",3
Fold 118,"['S6', 'Frequency']",2
Fold 119,[],0
Fold 120,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 121,"['S6', 'Frequency']",2
Fold 122,"['S6', 'Frequency']",2
Fold 123,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 124,"['S6', 'Frequency']",2
Fold 125,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 126,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 127,"['STAT3', 'S6', 'Frequency']",3
Fold 128,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 129,[],0
Fold 130,[],0
Fold 131,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 132,"['STAT3', 'S6', 'Frequency']",3
Fold 133,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 134,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 135,"['S6', 'Frequency']",2
Fold 136,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 137,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 138,"['S6', 'Frequency']",2
Fold 139,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 140,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 141,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 142,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 143,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 144,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 145,[],0
Fold 146,"['S6', 'Frequency']",2
Fold 147,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 148,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 149,"['S6', 'Frequency']",2
Fold 150,"['S6', 'Frequency']",2
Fold 151,"['S6', 'Frequency']",2
Fold 152,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 153,"['S6', 'Frequency']",2
Fold 154,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 155,"['STAT3', 'S6', 'Frequency']",3
Fold 156,"['STAT3', 'S6', 'Frequency']",3
Fold 157,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 158,[],0
Fold 159,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 160,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 161,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 162,"['S6', 'Frequency']",2
Fold 163,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 164,"['STAT3', 'S6', 'Frequency']",3
Fold 165,"['S6', 'Frequency']",2
Fold 166,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 167,"['S6', 'Frequency']",2
Fold 168,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 169,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 170,"['STAT3', 'S6', 'Frequency']",3
Fold 171,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 172,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 173,[],0
Fold 174,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 175,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 176,"['S6', 'Frequency']",2
Fold 177,[],0
Fold 178,"['S6', 'Frequency']",2
Fold 179,"['STAT3', 'S6', 'IkB']",3
Fold 180,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 181,"['S6', 'Frequency']",2
Fold 182,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 183,[],0
Fold 184,"['S6', 'Frequency']",2
Fold 185,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 186,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 187,"['STAT3', 'S6', 'Frequency']",3
Fold 188,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 189,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 190,"['S6', 'Frequency']",2
Fold 191,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 192,"['S6', 'Frequency']",2
Fold 193,[],0
Fold 194,"['STAT3', 'S6', 'Frequency']",3
Fold 195,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 196,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 197,"['S6', 'Frequency']",2
Fold 198,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 199,"['CREB', 'S6', 'IkB', 'Frequency']",4
