,Max Proba
CD62LnAgedNeutrophils_S6,0.989
CCR2pcMC_Frequency,0.959
CD4Tnaive_Frequency,0.958
CD62LpImmatureNeutrophils_S6,0.857
Bcells_Frequency,0.832
intMC_Frequency,0.769
CCR2nncMC_Frequency,0.764
CD8Tnaive_Frequency,0.728
gdTcells_Frequency,0.726
CD62LnAgedNeutrophils_p38,0.63
CD4Trm_Frequency,0.582
CD62LpImmatureNeutrophils_Frequency,0.547
CD8Tcm_STAT3,0.455
mDC_Frequency,0.454
MDSC_STAT3,0.371
CD56dimCD16pNKcells_Frequency,0.324
intMC_STAT3,0.308
CD4Tcm_Frequency,0.306
mDC_STAT3,0.303
Th1naive_IkB,0.293
CCR2pcMC_STAT3,0.28
Th1naive_STAT3,0.272
Tregmem_Frequency,0.211
CD8Tcm_Frequency,0.195
CD8Tem_Frequency,0.149
pDC_STAT3,0.148
MDSC_Frequency,0.141
NKT_Frequency,0.127
CD8Trm_Frequency,0.124
CD4Tem_Frequency,0.097
CD4Tnaive_STAT3,0.078
Th1mem_STAT3,0.069
CD4Trm_STAT3,0.066
CD8Tnaive_STAT3,0.065
CD62LpImmatureNeutrophils_STAT3,0.063
CD4Tcm_STAT3,0.02
Tregnaive_STAT3,0.011
CD4Tem_STAT3,0.002
Tregmem_STAT3,0.002
