,ROC AUC,Average Precision,N features,CVS
STABL,"0.450 [0.286, 0.611]","0.479 [0.269, 0.731]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.560 [0.293, 0.854] (p=0.227)","0.534 [0.332, 0.881] (p=0.272)","1.000 [1.000, 1.250] (p=8.525e-50)","1.000 [0.500, 1.000] (p=0.000e+00)"
SS 05,"0.350 [0.188, 0.500] (p=0.159)","0.500 [0.300, 0.700] (p=0.33)","0.000 [0.000, 0.000] (p=9.441e-01)","0.000 [0.000, 0.000] (p=3.084e-02)"
SS 08,"0.500 [0.500, 0.500] (p=0.365)","0.500 [0.300, 0.700] (p=0.501)","0.000 [0.000, 0.000] (p=4.353e-08)","0.000 [0.000, 0.000] (p=5.563e-85)"
Lasso,"0.190 [0.047, 0.375] (p=0.037)","0.379 [0.208, 0.642] (p=0.06)","0.000 [0.000, 6.750] (p=2.490e-17)","0.000 [0.000, 0.000] (p=0.000e+00)"
Lasso 1SE,"0.180 [0.049, 0.364] (p=0.035)","0.374 [0.211, 0.617] (p=0.038)","0.000 [0.000, 5.250] (p=1.596e-16)","0.000 [0.000, 0.000] (p=0.000e+00)"
ElasticNet,"0.380 [0.121, 0.670] (p=0.325)","0.527 [0.294, 0.796] (p=0.388)","8.500 [2.250, 85.000] (p=8.925e-42)","0.067 [0.000, 0.392] (p=0.000e+00)"
