,Mann-Whitney U-test,p-value
Myeloid M1 macrophages_tumorfront_pCREB,498.0,0.14697212290077816
CD8 T cells_stromal_GranzymeB,498.0,0.14697212290077816
CD4 T cells naive_stromal_Ki67,499.0,0.150220337397209
CD4 T cells memory_tumorfront_pCREB,499.5,0.15183050228486664
Vessel_stromal_pp38,500.0,0.15352300952725412
CD4 T cells regulatory_tumorfront_E-Cadherin,746.0,0.15403929998907578
Myeloid M2 macrophages_stromal_pERK,500.5,0.1551914503567813
Tumor proliferating_intratumor_pERK,501.0,0.15675890532969378
Fibroblasts_tumorfront_VEGF,502.0,0.16029357795454868
Tumor non-proliferating_stromal_pMAPKAPK2,503.0,0.16247442332323703
Myeloid Granulocytes_tumorfront_CD36,744.0,0.16528879651294126
Myeloid DCs_tumorfront_CD36,742.0,0.1661059585868343
CD8 T cells_intratumor_CD44,744.0,0.16650348849338803
B cells_stromal_pp38,504.0,0.16716284136724824
Vessel_stromal_pMAPKAPK2,504.0,0.16728745825983726
Fibroblasts_tumorfront_pNFkB,504.0,0.16728745825983726
CD4 T cells memory_tumorfront_CD36,743.5,0.16903549943517526
CD8 T cells_intratumor_pNFkB,743.0,0.17007935555527365
Fibroblasts_tumorfront_pMAPKAPK2,505.0,0.17086924147790072
Tumor proliferating_tumorfront_CD44,742.0,0.1744358929784563
CD4 T cells naive_tumorfront_pSTAT3,506.0,0.174493705964463
CD8 T cells_tumorfront_CD36,742.0,0.17450454490124756
Myeloid Monocytes_stromal_Ki67,506.0,0.17450454490124756
Vessel_tumorfront_pSTAT3,506.0,0.1745081578101343
CD8 T cells_intratumor_pSTAT1,741.0,0.17687779129908687
CD8 T cells_stromal_CD44,741.0,0.17820462490868583
Tumor non-proliferating_tumorfront_pSTAT1,741.0,0.17820462490868583
Tumor non-proliferating_tumorfront_pMAPKAPK2,508.0,0.1819590515392101
CD4 T cells naive_tumorfront_VEGF,508.5,0.18385444893441572
Myeloid Monocytes_tumorfront_pCREB,508.5,0.18385444893441572
Myeloid Granulocytes_tumorfront_GranzymeB,510.0,0.1875584009033443
Myeloid Monocytes_tumorfront_CD44,738.5,0.18769653692407273
CD4 T cells memory_tumorfront_VEGF,510.5,0.19156405077461458
CD8 T cells_intratumor_GranzymeB,737.0,0.192751290146018
Myeloid M1 macrophages_tumorfront_pSTAT1,737.0,0.193574036578668
Myeloid DCs_stromal_pS6,512.0,0.19619355225567947
Myeloid Granulocytes_tumorfront_Ki67,514.0,0.20136229137682993
Tumor non-proliferating_tumorfront_pCREB,513.0,0.20161422400942708
CD4 T cells naive_stromal_pSTAT3,513.0,0.20161422400942708
CD4 T cells regulatory_tumorfront_pS6,515.0,0.2039556322365298
B cells_stromal_pMAPKAPK2,514.0,0.20559139475967492
Myeloid Granulocytes_tumorfront_pp38,733.0,0.20728602778238725
Tumor proliferating_tumorfront_pERK,515.0,0.20981879551609894
Fibroblasts_stromal_pNFkB,516.0,0.21412688584938155
CD4 T cells memory_stromal_GranzymeB,516.5,0.21626178715235167
CD4 T cells naive_tumorfront_CD44,731.5,0.21626178715235167
Tumor proliferating_intratumor_E-Cadherin,731.0,0.21828458586055133
CD8 T cells_stromal_pSTAT3,517.0,0.21841972581376634
CD4 T cells regulatory_tumorfront_CD44,729.0,0.2202106464828637
Fibroblasts_tumorfront_GranzymeB,518.0,0.22277405736429834
Myeloid M2 macrophages_stromal_pCREB,518.5,0.22497048647573525
Tumor non-proliferating_stromal_pNFkB,519.0,0.22576866467688217
Myeloid M2 macrophages_tumorfront_CD44,729.0,0.22697191326355193
Tumor proliferating_intratumor_pSTAT3,519.0,0.22705377862592235
CD4 T cells naive_stromal_pMAPKAPK2,519.0,0.2271901715283613
Tumor proliferating_intratumor_CD44,728.0,0.2315313692714437
CD4 T cells memory_tumorfront_pSTAT1,728.0,0.23159008167016082
Vessel_tumorfront_GranzymeB,520.0,0.2316683468451184
CD4 T cells naive_stromal_E-Cadherin,520.0,0.2316683468451184
Myeloid Monocytes_tumorfront_pERK,520.5,0.23360126179280483
Tumor proliferating_tumorfront_Ki67,522.0,0.2407330474564603
Myeloid DCs_stromal_VEGF,522.5,0.24133375774757326
Tumor non-proliferating_intratumor_E-Cadherin,725.0,0.24547783173687754
Fibroblasts_stromal_Ki67,523.0,0.24547783173687754
Vessel_stromal_E-Cadherin,523.0,0.24547783173687754
CD8 T cells_stromal_pMAPKAPK2,524.0,0.2502067772474761
CD4 T cells memory_tumorfront_CD44,723.5,0.2525551814464764
Myeloid M2 macrophages_stromal_VEGF,524.5,0.2525909810578346
Myeloid DCs_stromal_pCREB,526.0,0.2583965998763347
Myeloid M1 macrophages_stromal_CD36,721.0,0.2647739290937816
Myeloid DCs_stromal_pp38,528.0,0.2674990530476822
Tumor non-proliferating_stromal_GranzymeB,528.0,0.26860621207399016
Tumor proliferating_tumorfront_pSTAT1,720.0,0.26953208109407845
Tumor non-proliferating_intratumor_pMAPKAPK2,528.0,0.2697570285886076
