,C'=' 0.010,C'=' 0.044,C'=' 0.078,C'=' 0.112,C'=' 0.147,C'=' 0.181,C'=' 0.215,C'=' 0.249,C'=' 0.283,C'=' 0.317,C'=' 0.351,C'=' 0.386,C'=' 0.420,C'=' 0.454,C'=' 0.488,C'=' 0.522,C'=' 0.556,C'=' 0.590,C'=' 0.624,C'=' 0.659,C'=' 0.693,C'=' 0.727,C'=' 0.761,C'=' 0.795,C'=' 0.829,C'=' 0.863,C'=' 0.898,C'=' 0.932,C'=' 0.966,C'=' 1.000
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.02,0.058,0.103,0.144,0.176,0.21,0.239,0.262,0.278,0.293,0.302,0.319,0.326,0.332,0.338,0.34,0.345,0.348,0.357,0.363,0.365
artificial.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.017,0.04,0.064,0.073,0.08,0.079,0.079,0.08,0.078,0.079,0.08,0.073,0.073,0.072,0.071,0.069,0.068,0.068,0.067
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.012,0.012,0.014,0.018,0.023,0.027,0.033,0.036,0.047,0.053,0.059,0.07,0.076,0.081,0.086,0.091
artificial.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.008,0.017,0.03,0.061,0.09,0.127,0.148,0.165,0.186,0.204,0.225,0.236,0.249,0.259,0.268,0.28,0.286,0.293,0.299,0.304,0.309
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.018,0.034,0.062,0.103,0.15,0.213,0.26,0.295,0.343,0.387,0.416,0.441,0.464,0.479,0.502,0.519,0.536,0.548,0.562
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.012,0.037,0.088,0.153,0.223,0.287,0.346,0.39,0.434,0.467,0.493,0.522,0.544,0.559,0.573,0.583,0.599,0.61,0.62
artificial.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.017,0.058,0.107,0.16,0.206,0.232,0.255,0.281,0.295,0.301,0.313,0.32,0.326,0.33,0.332,0.335,0.338,0.34,0.342
artificial.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.005,0.009,0.015,0.025,0.03,0.033,0.038,0.043,0.044,0.047,0.055,0.059,0.065,0.066,0.069,0.073
artificial.10,0.0,0.0,0.0,0.0,0.01,0.022,0.032,0.031,0.03,0.034,0.034,0.033,0.033,0.033,0.033,0.032,0.036,0.037,0.042,0.044,0.053,0.057,0.061,0.062,0.064,0.067,0.07,0.07,0.069,0.069
artificial.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.015,0.025,0.041,0.047,0.059,0.064,0.07,0.075,0.078,0.082,0.086,0.095,0.096,0.101,0.106,0.107,0.111
artificial.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.009,0.013,0.023,0.03,0.038,0.05,0.063,0.078,0.087,0.102,0.116,0.125,0.129,0.137,0.14
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.006,0.01,0.016,0.031,0.043,0.06,0.079,0.093,0.11,0.123,0.137,0.149,0.164,0.172,0.183,0.191,0.2
artificial.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011,0.036,0.088,0.125,0.169,0.188,0.199,0.212,0.22,0.219,0.218,0.215,0.217,0.221,0.223,0.222,0.221,0.217,0.219,0.22,0.221,0.222
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.006
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.035,0.065,0.102,0.123,0.158,0.182,0.215,0.243,0.262,0.292,0.307,0.326,0.345,0.359,0.373,0.383,0.401,0.409
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.033,0.055,0.077,0.102,0.12,0.141,0.168,0.196,0.212,0.231,0.24,0.256,0.267,0.279,0.286,0.297,0.308
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.005,0.052,0.166,0.299,0.39,0.459,0.486,0.516,0.529,0.545,0.558,0.575,0.588,0.6,0.611,0.619,0.629,0.643,0.65,0.657,0.663
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.015,0.034,0.049,0.067,0.081,0.09,0.1,0.109,0.113,0.122,0.13,0.135,0.138,0.141,0.146
artificial.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.039,0.177,0.44,0.579,0.672,0.728,0.757,0.777,0.794,0.806,0.814,0.82,0.825,0.831,0.834,0.839,0.847,0.851,0.854,0.861,0.869
artificial.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.031,0.078,0.143,0.206,0.262,0.317,0.374,0.427,0.472,0.506,0.539,0.564,0.592,0.606,0.623,0.643,0.652,0.662,0.67,0.679,0.689
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.015,0.022,0.026,0.033,0.035,0.04,0.043,0.044,0.044,0.044,0.046,0.046,0.045,0.046,0.046,0.049,0.052,0.053
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.01,0.024,0.037,0.061,0.072,0.086,0.105,0.122,0.141,0.151,0.164,0.178,0.191,0.2,0.203
artificial.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.012,0.035,0.076,0.102,0.132,0.15,0.167,0.176,0.189,0.201,0.208,0.21,0.22,0.221,0.226,0.234,0.235,0.242,0.243,0.244,0.244
artificial.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.007,0.016,0.025,0.036,0.045,0.057,0.069,0.082,0.087,0.093,0.101,0.107,0.119,0.131,0.143,0.153
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.004,0.008,0.01,0.025,0.051,0.072,0.09,0.105,0.121,0.136,0.15,0.158,0.161,0.166,0.175,0.188,0.192,0.195,0.2,0.206
artificial.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.013,0.035,0.062,0.081,0.1,0.116,0.128,0.141,0.144,0.151,0.159,0.167,0.172,0.178,0.185,0.188,0.194,0.198
artificial.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.02,0.046,0.075,0.12,0.155,0.191,0.222,0.253,0.274,0.293,0.314,0.337,0.348,0.358,0.374,0.382,0.391
artificial.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.011,0.036,0.083,0.121,0.172,0.222,0.255,0.284,0.312,0.336,0.364,0.379,0.397,0.417,0.429,0.435,0.444,0.453,0.466,0.473
artificial.30,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.008,0.017,0.029,0.043,0.051,0.065,0.074,0.081,0.085,0.089,0.096,0.1,0.103,0.105,0.105,0.105,0.107
artificial.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.012,0.025,0.045,0.083,0.113,0.143,0.176,0.2,0.216,0.238,0.259,0.271,0.281,0.297,0.302,0.313,0.323
artificial.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.004,0.005,0.007,0.01,0.011,0.015,0.015,0.017,0.021,0.023,0.023,0.025,0.028,0.028,0.031,0.031,0.036,0.042,0.045
artificial.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.005,0.006,0.008,0.01,0.01,0.01,0.013,0.016,0.018,0.02
artificial.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.006,0.011,0.013,0.017,0.022,0.029,0.033,0.034,0.035,0.04,0.042,0.045,0.047
artificial.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.005,0.005,0.005,0.005,0.006,0.008,0.008,0.008,0.008,0.009,0.01,0.01,0.012,0.013,0.015,0.016,0.016,0.016,0.018,0.018
