,ROC AUC,Average Precision,N features,CVS
STABL,"0.670 [0.400, 0.901]","0.747 [0.506, 0.934]","4.000 [2.500, 5.500]","0.400 [0.000, 0.600]"
SS 03,"0.780 [0.560, 0.958] (p=0.203)","0.721 [0.457, 0.974] (p=0.427)","8.500 [8.000, 9.000] (p=9.831e-34)","0.889 [0.889, 1.000] (p=0.000e+00)"
SS 05,"0.530 [0.231, 0.845] (p=0.161)","0.617 [0.376, 0.892] (p=0.222)","6.000 [5.000, 6.000] (p=5.533e-15)","0.833 [0.833, 1.000] (p=0.000e+00)"
SS 08,"0.590 [0.293, 0.845] (p=0.324)","0.691 [0.418, 0.897] (p=0.316)","1.000 [1.000, 1.000] (p=3.839e-26)","1.000 [0.000, 1.000] (p=0.000e+00)"
Lasso,"0.550 [0.275, 0.833] (p=0.263)","0.569 [0.343, 0.890] (p=0.11)","1.000 [1.000, 2.250] (p=6.210e-07)","0.500 [0.222, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.560 [0.303, 0.838] (p=0.252)","0.570 [0.353, 0.898] (p=0.123)","1.000 [1.000, 1.250] (p=9.853e-08)","1.000 [0.125, 1.000] (p=0.000e+00)"
ElasticNet,"0.560 [0.286, 0.854] (p=0.259)","0.613 [0.322, 0.873] (p=0.186)","1.500 [1.000, 8.250] (p=1.774e-02)","0.500 [0.111, 1.000] (p=0.000e+00)"
