,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.310 [0.109, 0.535]","0.422 [0.240, 0.695]","1.000 [0.000, 7.250]","0.000 [0.000, 0.100]",1.426e-01
SS 03,"0.320 [0.111, 0.596] (p=0.484)","0.430 [0.251, 0.747] (p=0.441)","9.000 [9.000, 10.000] (p=2.007e-37)","0.900 [0.900, 1.000] (p=0.000e+00)",1.852e-01
SS 05,"0.320 [0.071, 0.630] (p=0.453)","0.464 [0.277, 0.785] (p=0.326)","5.000 [5.000, 5.250] (p=9.661e-13)","0.833 [0.800, 1.000] (p=0.000e+00)",1.859e-01
SS 08,"0.650 [0.352, 0.912] (p=0.018)","0.694 [0.417, 0.927] (p=0.004)","1.000 [0.000, 1.000] (p=2.717e-02)","0.000 [0.000, 1.000] (p=0.000e+00)",2.666e-01
Lasso,"0.780 [0.531, 1.000] (p=0.003)","0.781 [0.503, 1.000] (p=0.001)","1.000 [1.000, 1.000] (p=1.135e-01)","1.000 [0.500, 1.000] (p=0.000e+00)",3.764e-02
Lasso 1SE,"0.770 [0.505, 1.000] (p=0.001)","0.777 [0.513, 1.000] (p=0.001)","1.000 [1.000, 1.000] (p=1.578e-01)","1.000 [1.000, 1.000] (p=0.000e+00)",4.515e-02
ElasticNet,"0.730 [0.479, 0.956] (p=0.003)","0.704 [0.443, 0.979] (p=0.003)","1.000 [1.000, 1.250] (p=5.491e-02)","1.000 [0.500, 1.000] (p=0.000e+00)",8.897e-02
