,ROC AUC,Average Precision,N features,CVS
STABL,"0.310 [0.110, 0.555]","0.422 [0.236, 0.716]","1.000 [0.000, 7.250]","0.000 [0.000, 0.100]"
SS 03,"0.320 [0.101, 0.606] (p=0.483)","0.430 [0.240, 0.750] (p=0.473)","9.000 [9.000, 10.000] (p=2.410e-37)","0.900 [0.900, 1.000] (p=0.000e+00)"
SS 05,"0.320 [0.073, 0.606] (p=0.475)","0.464 [0.271, 0.775] (p=0.297)","5.000 [5.000, 5.250] (p=9.661e-13)","0.833 [0.800, 1.000] (p=0.000e+00)"
SS 08,"0.650 [0.384, 0.901] (p=0.011)","0.694 [0.419, 0.934] (p=0.002)","1.000 [0.000, 1.000] (p=2.717e-02)","0.000 [0.000, 1.000] (p=0.000e+00)"
Lasso,"0.780 [0.495, 1.000] (p=0.001)","0.781 [0.530, 1.000] (p=0.0)","1.000 [1.000, 1.000] (p=1.135e-01)","1.000 [0.500, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.770 [0.505, 1.000] (p=0.0)","0.777 [0.517, 1.000] (p=0.0)","1.000 [1.000, 1.000] (p=1.578e-01)","1.000 [1.000, 1.000] (p=0.000e+00)"
ElasticNet,"0.730 [0.444, 0.964] (p=0.002)","0.704 [0.460, 0.971] (p=0.004)","1.000 [1.000, 1.250] (p=5.491e-02)","1.000 [0.500, 1.000] (p=0.000e+00)"
