,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.460 [0.192, 0.720]","0.607 [0.346, 0.817]","0.000 [0.000, 6.000]","0.000 [0.000, 0.000]",7.652e-01
SS 03,"0.440 [0.190, 0.720] (p=0.476)","0.492 [0.276, 0.813] (p=0.249)","6.000 [6.000, 6.000] (p=7.084e-39)","1.000 [1.000, 1.000] (p=0.000e+00)",6.776e-01
SS 05,"0.440 [0.198, 0.719] (p=0.438)","0.492 [0.296, 0.806] (p=0.22)","6.000 [6.000, 6.000] (p=7.084e-39)","1.000 [1.000, 1.000] (p=0.000e+00)",6.776e-01
SS 08,"0.500 [0.238, 0.753] (p=0.39)","0.526 [0.312, 0.821] (p=0.308)","1.000 [0.000, 2.000] (p=8.540e-01)","0.000 [0.000, 0.333] (p=7.016e-139)",1.000e+00
Lasso,"0.360 [0.154, 0.604] (p=0.254)","0.526 [0.295, 0.763] (p=0.153)","0.000 [0.000, 2.000] (p=9.579e-04)","0.000 [0.000, 0.000] (p=2.193e-42)",2.311e-01
Lasso 1SE,"0.360 [0.140, 0.600] (p=0.252)","0.526 [0.295, 0.776] (p=0.161)","0.000 [0.000, 1.250] (p=9.615e-04)","0.000 [0.000, 0.000] (p=9.078e-46)",2.311e-01
ElasticNet,"0.320 [0.090, 0.593] (p=0.177)","0.414 [0.248, 0.699] (p=0.067)","0.000 [0.000, 2.000] (p=2.934e-03)","0.000 [0.000, 0.000] (p=3.004e-47)",1.859e-01
