,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.590 [0.303, 0.849]","0.602 [0.347, 0.922]","3.000 [2.000, 3.000]","0.667 [0.667, 1.000]",5.205e-01
SS 03,"0.690 [0.396, 0.958] (p=0.091)","0.689 [0.446, 0.977] (p=0.085)","5.000 [4.000, 5.000] (p=7.519e-72)","1.000 [0.800, 1.000] (p=0.000e+00)",1.620e-01
SS 05,"0.690 [0.396, 0.933] (p=0.097)","0.689 [0.446, 0.959] (p=0.088)","4.000 [4.000, 4.000] (p=1.351e-79)","1.000 [1.000, 1.000] (p=0.000e+00)",1.620e-01
SS 08,"0.640 [0.369, 0.886] (p=0.278)","0.744 [0.504, 0.932] (p=0.179)","2.000 [2.000, 2.000] (p=8.746e-38)","1.000 [0.500, 1.000] (p=2.130e-21)",3.075e-01
Lasso,"0.700 [0.429, 0.922] (p=0.16)","0.714 [0.423, 0.956] (p=0.148)","4.500 [2.000, 7.000] (p=1.468e-12)","0.500 [0.286, 0.750] (p=0.000e+00)",1.405e-01
Lasso 1SE,"0.700 [0.434, 0.906] (p=0.167)","0.714 [0.427, 0.945] (p=0.135)","4.500 [2.000, 7.000] (p=1.468e-12)","0.500 [0.286, 0.750] (p=0.000e+00)",1.405e-01
ElasticNet,"0.740 [0.494, 0.960] (p=0.064)","0.691 [0.453, 0.971] (p=0.202)","4.000 [2.000, 5.000] (p=6.422e-10)","0.500 [0.375, 0.750] (p=0.000e+00)",7.566e-02
