,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.480 [0.250, 0.702]","0.527 [0.264, 0.765]","0.000 [0.000, 1.250]","0.000 [0.000, 0.000]",8.888e-01
SS 03,"0.270 [0.070, 0.538] (p=0.032)","0.398 [0.218, 0.682] (p=0.023)","4.000 [4.000, 4.000] (p=7.188e-71)","1.000 [1.000, 1.000] (p=0.000e+00)",8.897e-02
SS 05,"0.270 [0.070, 0.552] (p=0.034)","0.398 [0.243, 0.688] (p=0.022)","4.000 [4.000, 4.000] (p=7.188e-71)","1.000 [1.000, 1.000] (p=0.000e+00)",8.897e-02
SS 08,"0.270 [0.059, 0.533] (p=0.053)","0.398 [0.230, 0.673] (p=0.018)","4.000 [3.750, 4.000] (p=1.471e-63)","1.000 [0.750, 1.000] (p=0.000e+00)",8.897e-02
Lasso,"0.450 [0.333, 0.500] (p=0.492)","0.476 [0.269, 0.700] (p=0.295)","0.000 [0.000, 0.000] (p=6.610e-12)","0.000 [0.000, 0.000] (p=0.000e+00)",3.681e-01
Lasso 1SE,"0.450 [0.350, 0.500] (p=0.497)","0.476 [0.250, 0.686] (p=0.277)","0.000 [0.000, 0.000] (p=6.610e-12)","0.000 [0.000, 0.000] (p=0.000e+00)",3.681e-01
ElasticNet,"0.300 [0.066, 0.556] (p=0.123)","0.432 [0.243, 0.731] (p=0.158)","0.000 [0.000, 0.000] (p=6.610e-12)","0.000 [0.000, 0.000] (p=0.000e+00)",1.405e-01
